Assembly Identifier,Phylum,Class,Order,Family,Genus,Organism Name,Average_lifespan_days,Average_lifespan_days_in_longer_life_cycle,Parthenogenesis,Fission Budding,Highly dormant eggs,Dormant state in other than egg stage,More than one type of life cycles,Eusociality,Eusociality level,Host number
GCA_012934845.2_ASM1293484v2,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Pomphorhynchidae,Pomphorhynchus,Pomphorhynchus laevis,224.5,0,0,0,0,0,0,0,0,2
GCA_020405105.1_ASM2040510v1,Annelida,Clitellata,Crassiclitellata,Eudrilidae,Eudrilus,Eudrilus eugeniae,1095,0,0,0,0,0,0,0,0,0
GCA_020284085.1_ApCa_Genome_070519_masked.fasta,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,Aporrectodea caliginosa,1095,0,0,0,0,0,0,0,0,0
GCA_003999395.1_Eisenia_fetida_CLC_PE_MP,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eisenia,Eisenia fetida,2051.908333,0,0,0,0,0,0,0,0,0
GCA_945859605.1_wcLumRube1.1,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,Lumbricus rubellus,1095,0,0,0,0,0,0,0,0,0
GCA_949752735.1_wcLumTerr1.1,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,Lumbricus terrestris,2815.4,0,0,0,0,0,0,0,0,0
GCA_904063045.1_Dgyrociliatus_assembly,Annelida,Polychaeta,Dinophilidae,Dinophilidae,Dimorphilus,Dimorphilus gyrociliatus,109,0,0,0,0,0,0,0,0,0
GCA_905160935.1_enchytraeus_crypticus_genome,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Enchytraeus,Enchytraeus crypticus,370,0,0,0,0,0,0,0,0,0
GCA_964020975.1_waHerCaru1.1,Annelida,Polychaeta,Eunicida,Amphinomidae,Hermodice,Hermodice carunculata,3285,0,0,0,0,0,0,0,0,0
GCA_963978895.1_wkErpOcto2.1,Annelida,Clitellata,Hirudinida,Erpobdellidae,Erpobdella,Erpobdella octoculata,817.9924242,0,0,0,0,0,0,0,0,0
GCA_034509925.1_ASM3450992v1,Annelida,Clitellata,Hirudinida,Hirudinidae,Hirudinaria,Hirudinaria manillensis,2920,0,0,0,0,0,0,0,0,0
GCA_011800805.1_ASM1180080v1,Annelida,Clitellata,Hirudinida,Hirudinidae,Hirudo,Hirudo medicinalis,1213.25,0,0,0,0,0,0,0,0,0
GCA_020137395.1_ASM2013739v1,Annelida,Clitellata,Hirudinida,Hirudinidae,Hirudo,Hirudo verbana,1095,0,0,0,0,0,0,0,0,0
GCA_943735955.1_wrPisGeom1.1,Annelida,Clitellata,Hirudinida,Piscicolidae,Piscicola,Piscicola geometra,292,0,0,0,0,0,0,0,0,0
GCA_932294295.1_wpAliVire1.1,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,Alitta virens,2007.5,0,0,0,0,0,0,0,0,0
GCA_043381215.1_ASM4338121v1,Annelida,Polychaeta,Phyllodocida,Nereididae,Platynereis,Platynereis dumerilii,547.5,0,0,0,0,0,0,0,0,0
GCA_040966955.1_ASM4096695v1,Annelida,Polychaeta,Phyllodocida,Polynoidae,Arctonoe,Arctonoe vittata,1460,0,0,0,0,0,0,0,0,0
GCA_942159475.1_wpSthLimi1.1,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Sthenelais,Sthenelais limicola,1095,0,0,0,0,0,0,0,0,0
GCA_000326865.1_Helobdella_robusta_v1.0,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Helobdella,Helobdella robusta,331,0,0,0,0,0,0,0,0,0
GCA_964276725.1_wrPlaCost1.1,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Placobdella,Placobdella costata,922.6388889,0,0,0,0,0,0,0,0,0
GCA_903813345.2_Owenia_chromosome,Annelida,Polychaeta,Sabellida,Oweniidae,Owenia,Owenia fusiformis,1368.75,0,0,0,0,0,0,0,0,0
GCA_964340945.1_wsSabSpal1.2,Annelida,Polychaeta,Sabellida,Sabellidae,Sabella,Sabella spallanzanii,1825,0,0,0,0,0,0,0,0,0
GCA_001703475.1_H_elegans_v1.0,Annelida,Polychaeta,Sabellida,Serpulidae,Hydroides,Hydroides elegans,304.1666667,0,0,0,0,0,0,0,0,0
GCA_963995525.1_wsEscSpic3.1,Annelida,Polychaeta,Sabellida,Siboglinidae,Escarpia,Escarpia spicata,91250,0,0,0,0,0,0,0,0,0
GCA_009193005.1_LLUY_1.0,Annelida,Polychaeta,Sabellida,Siboglinidae,Lamellibrachia,Lamellibrachia luymesi,85045,0,0,0,0,0,0,0,0,0
GCA_025642075.2_R07B-5,Annelida,Polychaeta,Sabellida,Siboglinidae,Ridgeia,Ridgeia piscesae,7300,0,0,0,0,0,0,0,0,0
GCA_964019135.1_wuAreMari1.1,Annelida,Polychaeta,Scolecida,Arenicolidae,Arenicola,Arenicola marina,1825,0,0,0,0,0,0,0,0,0
GCA_000328365.1_Capca1,Annelida,Polychaeta,Scolecida,Capitellidae,Capitella,Capitella teleta,121.0416667,0,0,0,0,0,0,0,0,0
GCA_035585475.1_ASM3558547v1,Annelida,Polychaeta,Scolecida,Opheliidae,Armandia,Armandia brevis,42,0,0,0,0,0,0,0,0,0
GCA_019095985.1_ASM1909598v1,Annelida,Polychaeta,Spionida,Spionidae,Streblospio,Streblospio benedicti,385.3333333,0,0,0,0,0,0,0,0,0
GCA_964017125.1_wfFlaComm2.1,Annelida,Polychaeta,Terebellida,Flabelligeridae,Flabesymbios,Flabesymbios commensalis,1095,0,0,0,0,0,0,0,0,0
GCA_964023285.1_Lsc-v1-1,Arthropoda (Chelicerata),Arachnida,Araneae,Araneidae,Larinioides,Larinioides sclopetarius,595,0,0,0,0,0,0,0,0,0
GCA_963978545.1_qqLinTria7.1,Arthropoda (Chelicerata),Arachnida,Araneae,Linyphiidae,Linyphia,Linyphia triangularis,264.625,0,0,0,0,0,0,0,0,0
GCA_019973935.1_Tncv_1.0,Arthropoda (Chelicerata),Arachnida,Araneae,Nephilidae,Trichonephila,Trichonephila clavipes,365,0,0,0,0,0,0,0,0,0
GCA_001188405.1_Lrec_1.0,Arthropoda (Chelicerata),Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles reclusa,1825,0,0,0,0,0,0,0,0,0
GCA_000661875.1_Agen_v1,Arthropoda (Chelicerata),Arachnida,Araneae,Theraphosidae,Acanthoscurria,Acanthoscurria geniculata,3491,0,0,0,0,0,0,0,0,0
GCA_029532675.1_ASM2953267v1,Arthropoda (Chelicerata),Arachnida,Ixodida,Argasidae,Ornithodoros,Ornithodoros moubata,4197.5,0,0,0,0,0,0,0,0,0
GCA_037126465.1_ASM3712646v1,Arthropoda (Chelicerata),Arachnida,Ixodida,Argasidae,Ornithodoros,Ornithodoros turicata,3650,0,0,0,0,0,0,0,0,0
GCA_028455905.1_GZU_Ncal_1.0,Arthropoda (Chelicerata),Arachnida,Mesostigmata,Phytoseiidae,Neoseiulus,Neoseiulus californicus,94.27333333,0,0,0,0,0,0,0,0,0
GCA_030710605.1_ASM3071060v1,Arthropoda (Chelicerata),Arachnida,Pseudoscorpiones,Chernetidae,Cordylochernes,Cordylochernes scorpioides,365,0,0,0,0,0,0,0,0,0
GCA_000988905.1_ASM98890v1,Arthropoda (Chelicerata),Arachnida,Sarcoptiformes,Camisiidae,Platynothrus,Platynothrus peltifer,421,0,0,0,0,0,0,0,0,0
GCA_034694965.1_ASM3469496v1,Arthropoda (Chelicerata),Arachnida,Sarcoptiformes,Ceratozetidae,Ceratozetes,Ceratozetes gracilis,4730,0,0,0,0,0,0,0,0,0
GCA_034702105.1_ASM3470210v1,Arthropoda (Chelicerata),Arachnida,Sarcoptiformes,Ceratozetidae,Fuscozetes,Fuscozetes fuscipes,26,0,0,0,0,0,0,0,0,0
GCA_034697745.1_ASM3469774v1,Arthropoda (Chelicerata),Arachnida,Sarcoptiformes,Nothridae,Nothrus,Nothrus palustris,351,0,0,0,0,0,0,0,0,0
GCA_033995675.1_ASM3399567v1,Arthropoda (Chelicerata),Arachnida,Sarcoptiformes,Nothridae,Nothrus,Nothrus silvestris,221,0,0,0,0,0,0,0,0,0
GCA_905397405.1_1_On_b1v03.max_arth_b2g_droso_b2g_emblv2,Arthropoda (Chelicerata),Arachnida,Sarcoptiformes,Oppiidae,Oppiella,Oppiella nova,60,0,0,0,0,0,0,0,0,0
GCA_034700185.1_ASM3470018v1,Arthropoda (Chelicerata),Arachnida,Sarcoptiformes,Phthiracaridae,Phthiracarus,Phthiracarus laevigatus,169,0,0,0,0,0,0,0,0,0
GCA_034698365.1_ASM3469836v1,Arthropoda (Chelicerata),Arachnida,Sarcoptiformes,Steganacaridae,Steganacarus,Steganacarus magnus,1095,0,0,0,0,0,0,0,0,0
GCA_018873245.2_Caltech_Along_2.0,Arthropoda (Chelicerata),Arachnida,Sarcoptiformes,Trhypochthoniidae,Archegozetes,Archegozetes longisetosus,280,0,0,0,0,0,0,0,0,0
GCA_030686945.2_ASM3068694v2,Arthropoda (Chelicerata),Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides vittatus,1460,0,0,0,0,0,0,0,0,0
GCA_036759885.1_ASM3675988v1,Arthropoda (Chelicerata),Arachnida,Trombidiformes,Tetranychidae,Tetranychus,Tetranychus piercei,51,0,0,0,0,0,0,0,0,0
GCA_028476895.1_ASM2847689v1,Arthropoda (Chelicerata),Arachnida,Trombidiformes,Tetranychidae,Tetranychus,Tetranychus truncatus,48,0,0,0,0,0,0,0,0,0
GCA_000239435.1_ASM23943v1,Arthropoda (Chelicerata),Arachnida,Trombidiformes,Tetranychidae,Tetranychus,Tetranychus urticae,50,0,0,0,0,0,0,0,0,0
GCA_000517525.1_Limulus_polyphemus-2.1.2,Arthropoda (Chelicerata),Merostomata,Xiphosura,Limulidae,Limulus,Limulus polyphemus,7026.25,0,0,0,0,0,0,0,0,0
GCA_014155125.1_IMCB_Tgig_1.0,Arthropoda (Chelicerata),Merostomata,Xiphosura,Limulidae,Tachypleus,Tachypleus gigas,6570,0,0,0,0,0,0,0,0,0
GCA_004210375.1_ASM421037v1,Arthropoda (Chelicerata),Merostomata,Xiphosura,Limulidae,Tachypleus,Tachypleus tridentatus,5475,0,0,0,0,0,0,0,0,0
GCA_947561585.1_Caprella_mutica_genome,Arthropoda (Mandibulata),Crustacea,Amphipoda,Caprellidae,Caprella,Caprella mutica,501.875,0,0,0,0,0,0,0,0,0
GCA_000764305.4_Hazt_2.0.2,Arthropoda (Mandibulata),Crustacea,Amphipoda,Hyalellidae,Hyalella,Hyalella azteca,185,0,0,0,0,0,0,0,0,0
GCA_037179465.1_ASM3717946v1,Arthropoda (Mandibulata),Crustacea,Amphipoda,Phronimidae,Phronima,Phronima sedentaria,365,0,0,0,0,0,0,0,0,0
GCA_027921565.1_ASM2792156v1,Arthropoda (Mandibulata),Crustacea,Anostraca,Artemiidae,Artemia,Artemia sinica,127,0,0,0,1,0,0,0,0,0
GCA_023053575.1_BRLY_1.1,Arthropoda (Mandibulata),Crustacea,Anostraca,Branchinectidae,Branchinecta,Branchinecta lynchi,139,0,0,0,1,0,0,0,0,0
GCA_002891405.2_Csec_1.0,Arthropoda (Mandibulata),Insecta,Blattodea,Kalotermitidae,Cryptotermes,Cryptotermes secundus,1460,4745,0,0,0,0,0,1,1,0
GCA_013340265.1_CopFor1.0,Arthropoda (Mandibulata),Insecta,Blattodea,Rhinotermitidae,Coptotermes,Coptotermes formosanus,1460,5475,0,0,0,0,0,1,2,0
GCA_000696155.1_ZooNev1.0,Arthropoda (Mandibulata),Insecta,Blattodea,Termopsidae,Zootermopsis,Zootermopsis nevadensis,0,4854.5,0,0,0,0,0,1,2,0
GCA_025024175.1_Rdo_ARS_Dec2018,Arthropoda (Mandibulata),Insecta,Coleoptera,Bostrichidae,Rhyzopertha,Rhyzopertha dominica,189.5,0,0,0,0,0,0,0,0,0
GCA_028583605.1_ASM2858360v1,Arthropoda (Mandibulata),Insecta,Coleoptera,Bothrideridae,Dastarcus,Dastarcus helophoroides,1496.9,0,0,0,0,0,0,0,0,0
GCA_000699045.2_Apla_2.0,Arthropoda (Mandibulata),Insecta,Coleoptera,Buprestidae,Agrilus,Agrilus planipennis,152.23,0,0,0,0,0,0,0,0,0
GCA_037013635.1_ASM3701363v1,Arthropoda (Mandibulata),Insecta,Coleoptera,Chrysomelidae,Plagiodera,Plagiodera versicolora,43.11,0,0,0,0,0,0,0,0,0
GCA_910592335.1_icAdaBipu1.1,Arthropoda (Mandibulata),Insecta,Coleoptera,Coccinellidae,Adalia,Adalia bipunctata,74.43,0,0,0,0,0,0,0,0,0
GCA_907165205.1_icCocSept1.1,Arthropoda (Mandibulata),Insecta,Coleoptera,Coccinellidae,Coccinella,Coccinella septempunctata,69.28,0,0,0,0,0,0,0,0,0
GCA_013387265.2_ASM1338726v2,Arthropoda (Mandibulata),Insecta,Coleoptera,Coccinellidae,Cryptolaemus,Cryptolaemus montrouzieri,81.71,0,0,0,0,0,0,0,0,0
