GeneID,Fragmented,Multi_copy,Single_copy
102804at33208,0,0,1
103854at33208,0,0,1
109109at33208,0,0,1
111730at33208,0,0,1
115878at33208,0,0,1
118209at33208,0,0,1
119252at33208,0,0,1
119591at33208,0,0,1
123923at33208,0,0,1
124302at33208,0,0,1
127766at33208,0,0,1
129179at33208,0,0,1
130245at33208,0,0,1
130256at33208,0,0,1
131349at33208,0,1,0
131848at33208,0,0,1
132087at33208,0,0,1
134492at33208,0,0,1
135294at33208,1,0,0
137383at33208,0,0,1
13816at33208,0,0,1
139188at33208,0,0,1
143619at33208,1,0,0
146671at33208,0,0,1
147873at33208,0,0,1
148067at33208,0,0,1
148325at33208,0,0,1
152977at33208,0,0,1
153034at33208,0,0,1
157109at33208,0,0,1
158845at33208,0,0,1
158962at33208,0,0,1
16244at33208,0,0,1
162821at33208,0,0,1
164767at33208,0,0,1
166097at33208,0,0,1
168850at33208,0,0,1
168924at33208,0,0,1
169864at33208,1,0,0
176247at33208,0,1,0
177718at33208,0,0,1
177858at33208,0,0,1
179485at33208,0,0,1
180808at33208,0,0,1
182834at33208,0,0,1
184508at33208,0,0,1
184717at33208,0,0,1
186208at33208,0,0,1
189414at33208,0,0,1
190726at33208,0,0,1
192250at33208,0,0,1
194754at33208,0,0,1
195986at33208,0,0,1
196950at33208,0,0,1
197652at33208,0,0,1
200997at33208,0,0,1
201397at33208,0,0,1
203128at33208,0,0,1
206786at33208,0,0,1
207599at33208,0,0,1
208219at33208,1,0,0
210614at33208,0,0,1
212972at33208,0,0,1
214788at33208,0,0,1
215654at33208,0,0,1
216257at33208,0,0,1
216563at33208,0,0,1
219856at33208,0,0,1
222489at33208,0,0,1
224280at33208,0,0,1
226335at33208,0,0,1
226941at33208,0,0,1
227087at33208,0,0,1
227453at33208,0,0,1
227979at33208,0,0,1
231157at33208,0,0,1
231700at33208,0,0,1
234290at33208,0,0,1
235149at33208,0,0,1
235430at33208,1,0,0
235458at33208,0,0,1
239016at33208,0,0,1
240437at33208,0,0,1
244863at33208,1,0,0
245482at33208,0,0,1
245567at33208,0,0,1
246241at33208,0,0,1
247183at33208,1,0,0
247905at33208,1,0,0
249486at33208,0,0,1
251076at33208,1,0,0
251577at33208,0,0,1
255117at33208,0,0,1
255924at33208,0,0,1
257141at33208,0,0,1
261284at33208,0,0,1
261614at33208,0,0,1
262757at33208,0,0,1
266460at33208,0,0,1
266469at33208,0,0,1
266808at33208,0,0,1
267439at33208,0,0,1
268134at33208,0,0,1
268397at33208,0,0,1
270594at33208,0,0,1
271297at33208,0,0,1
271742at33208,0,0,1
273040at33208,0,0,1
274044at33208,0,0,1
274769at33208,0,0,1
274992at33208,0,0,1
278227at33208,0,0,1
279631at33208,0,0,1
279992at33208,0,0,1
281693at33208,0,0,1
283637at33208,0,0,1
285146at33208,0,0,1
285902at33208,1,0,0
286553at33208,0,0,1
289928at33208,0,0,1
291505at33208,0,0,1
291875at33208,0,0,1
295775at33208,0,0,1
300303at33208,1,0,0
301572at33208,0,0,1
304388at33208,0,0,1
305260at33208,0,0,1
306101at33208,0,0,1
307109at33208,0,0,1
308610at33208,0,0,1
311438at33208,0,0,1
311758at33208,0,0,1
311761at33208,0,0,1
312577at33208,0,0,1
313091at33208,0,0,1
315044at33208,0,0,1
315393at33208,0,0,1
317470at33208,0,0,1
318483at33208,0,0,1
318532at33208,0,0,1
319574at33208,1,0,0
320390at33208,1,0,0
323473at33208,0,0,1
324249at33208,0,0,1
325183at33208,0,0,1
327301at33208,1,0,0
331112at33208,0,0,1
331186at33208,0,0,1
332870at33208,0,0,1
333062at33208,0,0,1
333800at33208,0,0,1
334331at33208,0,0,1
334336at33208,0,0,1
334342at33208,1,0,0
334764at33208,0,0,1
335107at33208,0,0,1
338191at33208,0,0,1
338482at33208,0,0,1
339127at33208,0,0,1
340558at33208,0,0,1
340577at33208,0,0,1
344338at33208,0,0,1
344581at33208,0,0,1
345099at33208,0,0,1
347600at33208,0,0,1
348449at33208,0,0,1
348544at33208,0,1,0
349627at33208,0,0,1
352600at33208,0,0,1
352854at33208,0,0,1
353286at33208,0,0,1
354829at33208,0,0,1
354949at33208,1,0,0
355210at33208,1,0,0
355739at33208,0,0,1
356503at33208,0,0,1
357580at33208,0,0,1
359075at33208,0,0,1
359324at33208,1,0,0
359369at33208,0,0,1
360753at33208,0,0,1
361100at33208,0,0,1
361203at33208,0,0,1
361216at33208,0,0,1
363634at33208,0,0,1
363851at33208,0,0,1
364383at33208,0,0,1
364694at33208,0,0,1
365323at33208,1,0,0
365561at33208,0,0,1
365691at33208,0,0,1
366124at33208,0,0,1
366814at33208,0,0,1
366936at33208,0,0,1
367551at33208,0,0,1
367596at33208,1,0,0
367957at33208,0,0,1
368875at33208,1,0,0
371241at33208,0,0,1
371297at33208,0,0,1
371526at33208,0,0,1
372257at33208,1,0,0
372707at33208,0,0,1
373040at33208,0,0,1
376982at33208,0,0,1
378033at33208,0,0,1
378316at33208,0,0,1
378768at33208,0,0,1
378913at33208,0,0,1
379636at33208,0,0,1
379771at33208,0,0,1
381303at33208,1,0,0
382000at33208,0,0,1
382262at33208,0,0,1
382750at33208,0,0,1
383313at33208,0,0,1
384187at33208,0,0,1
387079at33208,0,0,1
387117at33208,0,0,1
387878at33208,1,0,0
389367at33208,0,0,1
