"Region","Dinucleotide","Intercept","Std.Error_Intercept","t.value_Intercept","p.value_Intercept","Coefficient_ln_lifespan_c","Std.Error_ln_lifespan_c","t.value_ln_lifespan_c","p.value_ln_lifespan_c","Coefficient_ln_Genome_Size_c","Std.Error_ln_Genome_Size_c","t.value_ln_Genome_Size_c","p.value_ln_Genome_Size_c","Coefficient_Interaction","Std.Error_Interaction","t.value_Interaction","p.value_Interaction","Lambda","N_species","p.adjusted.fdr_Intercept","p.adjusted.fdr_ln_lifespan_c","p.adjusted.fdr_ln_Genome_Size_c","p.adjusted.fdr_Interaction"
"genome","AA_and_TT_OE",0.127073605546938,0.136303918189286,0.932281384387427,0.351678061860592,-0.0038553009681323,0.00199187083044078,-1.93551755927826,0.0535366468176994,-0.00946993179264136,0.00379581999481892,-2.4948316320498,0.0129498309055645,0.00179711887742685,0.00153622803056656,1.16982559989097,0.242674294068998,0.984375015465528,466,0.932477558918547,0.145696866021785,0.0298842251666872,0.404457156781663
"genome","AC_and_GT_OE",-0.075939517095819,0.121623213529433,-0.62438341244323,0.532684019995348,0.00901913293281503,0.00210326813968724,4.28815173996608,2.19482871809434e-05,0.0110913548090159,0.00395471741213277,2.80458845807504,0.00525046866621229,0.00524354886464305,0.00160349885405265,3.27006711067526,0.00115558053720757,0.976352718096289,466,0.932477558918547,0.000658448615428303,0.0157514059986369,0.00910998353311175
"genome","AG_and_CT_OE",-0.0636372259341666,0.209672017031924,-0.303508435865705,0.761639050416835,0.00414584501426818,0.00176973601469773,2.34263470926555,0.0195716508677059,-0.00587664558707012,0.00358178126248319,-1.6407047657053,0.101539305632721,-7.11127240008519e-05,0.00142158023339223,-0.0500237146876754,0.960125109509126,0.996204742366998,466,0.932477558918547,0.0945016733266354,0.132442572564419,0.960125109509126
"genome","AT_OE",-0.0647456319392791,0.136531703710364,-0.474216831547269,0.635569336468758,-0.00308679172928229,0.00199519927811224,-1.54710948582683,0.122521545629847,0.00893215911611804,0.00380216291730038,2.34923103254609,0.0192324534939718,-0.00500970993718046,0.00153879510802769,-3.25560557805615,0.00121466447108157,0.984375021016187,466,0.932477558918547,0.204600566943827,0.0360608503011972,0.00910998353311175
"genome","CA_and_TG_OE",0.10936805874231,0.209982924954756,0.520842629303672,0.60272593752312,0.00255077500996826,0.00164699565278009,1.54874422750455,0.122127928563664,-0.00803819904586041,0.00336634688936377,-2.38781067728276,0.0173499806666273,0.00175588729549532,0.00132911020794762,1.32109984935464,0.187122004469226,0.996886875999357,466,0.932477558918547,0.204600566943827,0.0360608503011972,0.350853758379799
"genome","CC_and_GG_OE",0.0534936067804249,0.231927777460665,0.230647692855581,0.817690612215435,-0.00350218228450812,0.00226514297535186,-1.54611974723763,0.122760340166296,0.0161969831508604,0.00450101061054348,3.59852143270213,0.000354600167561062,-0.000171229524444375,0.00180124765864484,-0.0950616222164579,0.924307097358275,0.994410227472661,466,0.932477558918547,0.204600566943827,0.00132975062835398,0.960125109509126
"genome","CG_OE",-0.194547598001327,0.400345214260146,-0.485949603171499,0.627233295149178,-0.0103714131820737,0.00461086240370733,-2.24934345768694,0.0249607954638322,0.00835956785507016,0.00899205563228191,0.929661491979533,0.353031862176904,-0.00611838498888509,0.00362129108044336,-1.689559014443,0.0917869958726281,0.991429712418246,466,0.932477558918547,0.0945016733266354,0.365205374665763,0.183573991745256
"genome","GA_and_TC_OE",-0.00369073447586152,0.217301163615513,-0.0169844211344943,0.986456376302637,-0.00131797808429425,0.00173303882551466,-0.760501187215382,0.447343000062635,-0.0226590632878152,0.00353417461080181,-6.41141589851284,3.56624892779469e-10,-0.000694103511608754,0.00139712130620783,-0.496809767716406,0.619559521045738,0.996742853175374,466,0.989501031466442,0.50213383155142,1.06987467833841e-08,0.766957320322337
"genome","GC_OE",0.0578105313956588,0.263813194275237,0.219134344491295,0.826642174061276,-0.00313029574721611,0.00296313663400271,-1.0564128941255,0.291331705068587,0.0100065528141008,0.00579435485295503,1.72694856770769,0.0848453072667518,-0.00743166727104058,0.00233169382638795,-3.1872397597557,0.00153378937811699,0.991963954349411,466,0.932477558918547,0.379997876176418,0.123404751195544,0.00920273626870191
"genome","TA_OE",-0.24673112103662,0.350046665856271,-0.704852081459126,0.48125746883858,0.00190376676837428,0.00252872942963705,0.752855068660916,0.451920448396278,0.031237616770558,0.00522840433890281,5.9745985095547,4.61104842339908e-09,-0.00502182676682027,0.0020504088421234,-2.44918314028517,0.0146885060568663,0.997514631258198,466,0.932477558918547,0.50213383155142,4.61104842339908e-08,0.0440655181705989
"gene_associated_-2kb_+1kb","AA_and_TT_OE",0.124471989252021,0.209175089039017,0.595061246651618,0.552093870844791,-0.0023943759300988,0.00162399208032401,-1.47437660510086,0.141061291925407,-0.00458731206279611,0.00332398665473975,-1.38006332132981,0.168234592752641,0.00122558349900604,0.00131135369116512,0.934594158130691,0.350485707000394,0.996972146845201,466,0.932477558918547,0.21159193788811,0.194116837791508,0.477935055000537
"gene_associated_-2kb_+1kb","AC_and_GT_OE",-0.0734442926559014,0.148686049081197,-0.493955506315147,0.621572358614405,0.0075779809102162,0.00188744708038492,4.0149368896058,6.93762254377131e-05,0.00863976592014997,0.00364418569267447,2.37083580496943,0.0181573126541993,0.00378103322656919,0.00147126088107154,2.56992711164549,0.0104844195956817,0.989021421591848,466,0.932477558918547,0.000693762254377131,0.0360608503011972,0.0349480653189391
"gene_associated_-2kb_+1kb","AG_and_CT_OE",-0.055916920946548,0.225719535955784,-0.247727431787303,0.804455365712773,0.00383275405026708,0.00170676994461085,2.24561843403034,0.0252004462204361,-0.00336652730452675,0.00350623121972802,-0.960155532694131,0.33747916273915,-0.000135348922899984,0.00138034827529717,-0.0980541833696611,0.921931794406279,0.997182635367839,466,0.932477558918547,0.0945016733266354,0.361584817220518,0.960125109509126
"gene_associated_-2kb_+1kb","AT_OE",-0.0647011318614158,0.12579556779213,-0.514335544542639,0.607263352758277,-0.00338518155810031,0.0018383073060859,-1.84146662905235,0.0661940686536969,0.00681240406657392,0.00350318083044942,1.94463386170675,0.0524255339117008,-0.00428010354683823,0.00141779235724042,-3.01885076822461,0.00267773995633676,0.984375020645738,466,0.932477558918547,0.147394865848723,0.0827771588079487,0.010305630658618
"gene_associated_-2kb_+1kb","CA_and_TG_OE",0.130664347609108,0.20414661602551,0.640051499030384,0.522456400076662,0.002773937766644,0.00152072413308268,1.82409005440119,0.0687842707294042,-0.00373946943766643,0.0031305939931801,-1.19449198644498,0.232898454547074,0.00127862850017783,0.00123094666572245,1.03873590609825,0.299470896616495,0.997295734449127,466,0.932477558918547,0.147394865848723,0.25877606060786,0.449206344924742
"gene_associated_-2kb_+1kb","CC_and_GG_OE",0.0460445050436333,0.190412384588975,0.24181465477167,0.809031078237428,-0.00512739262286549,0.00209549860745118,-2.44686042960539,0.0147822509206062,0.0180605488602686,0.00410690419985139,4.39760656236446,1.35979413720258e-05,0.000233811848493856,0.00165153001609953,0.141572872557325,0.887479106952231,0.992375255897415,466,0.932477558918547,0.0945016733266354,5.82768915943964e-05,0.960125109509126
"gene_associated_-2kb_+1kb","CG_OE",-0.249013908863537,0.413228851395193,-0.60260533121728,0.547066934566027,-0.00960270151094527,0.00505856434162822,-1.89830569751227,0.0582787464087139,-0.0168451581902281,0.009802493077306,-1.71845652502696,0.0863833258368807,-0.00739530494140519,0.00395421616533746,-1.87023284316933,0.0620835987533578,0.989986706260086,466,0.932477558918547,0.145696866021785,0.123404751195544,0.13303628304291
