Assembly,Species
GCA_035585475.1_ASM3558547v1,Armandia brevis (Annelida short-lived)
GCA_034509925.1_ASM3450992v1,Hirudinaria manillensis (Annelida long-lived)
GCA_034702105.1_ASM3470210v1,Fuscozetes fuscipes (Chelicerata short-lived)
GCA_000517525.1_Limulus_polyphemus-2.1.2,Limulus polyphemus (Chelicerata long-lived)
GCA_951804975.1_iyAntPlum1.1,Anthophora plumipes (Mandibulata short-lived)
GCA_018397915.1_ASM1839791v1,Birgus latro (Mandibulata long-lived)
GCA_039654405.1_ASM3965440v1,Bullina lineata (Mollusca short-lived)
GCA_029931535.1_MarmarV2,Margaritifera margaritifera (Mollusca long-lived)
GCA_964057225.1_nxAuaRhod1.1,Auanema rhodensis (Nematoda short-lived)
GCA_005281725.1_ASM528172v1,Wuchereria bancrofti (Nematoda long-lived)
GCA_000715275.1_Gsalaris_v1,Gyrodactylus salaris (Platyhelminthes short-lived)
GCA_001693035.2_Taenia_asiatica_TASYD01_v1,Taenia asiatica (Platyhelminthes long-lived)
