"Region","Dinucleotide","Intercept","Std.Error_Intercept","t.value_Intercept","p.value_Intercept","Coefficient_ln_lifespan_c","Std.Error_ln_lifespan_c","t.value_ln_lifespan_c","p.value_ln_lifespan_c","Coefficient_ln_Genome_Size_c","Std.Error_ln_Genome_Size_c","t.value_ln_Genome_Size_c","p.value_ln_Genome_Size_c","Coefficient_Interaction","Std.Error_Interaction","t.value_Interaction","p.value_Interaction","Lambda","N_species","p.adjusted.fdr_Intercept","p.adjusted.fdr_ln_lifespan_c","p.adjusted.fdr_ln_Genome_Size_c","p.adjusted.fdr_Interaction"
"downstream1","AA_OE",0.0435598546371764,0.142258382660424,0.306202375020356,0.759588501681593,-0.00562999767843511,0.00140782868700687,-3.9990644674281,7.40286856481663e-05,-0.0108796842039315,0.0027930490329943,-3.89527146692011,0.000112572615082221,-0.00275408020456367,0.00111843151008768,-2.46244868793778,0.0141631157449955,0.994213593388126,466,0.986456375310863,0.00101019389345316,0.0010882019457948,0.0774485025448073
"downstream1","AC_OE",-0.0807719606096508,0.116866537533539,-0.691147032455464,0.489820271039538,0.0100528588486595,0.00174085198407506,5.77467753756258,1.41710829839871e-08,0.00720944778811211,0.00331200129306391,2.17676478665946,0.030003760149547,0.00271058613020729,0.00134075796939387,2.02168190835569,0.0437851917490164,0.9836141469842,466,0.986456375310863,1.6438456261425e-06,0.0644525218027307,0.153911583117754
"downstream1","AG_OE",0.0171722547597841,0.149168959740873,0.11511949127764,0.908400426695995,0.00251852327786234,0.00175890753989434,1.43186791843171,0.152857792821633,0.00703110044694294,0.00342165758390386,2.05488137679778,0.0404522440497575,0.00254509521663655,0.00137890741890623,1.84573321003332,0.0655705598720993,0.990898185697068,466,0.986456375310863,0.25284647477235,0.0756848437059979,0.194684337743362
"downstream1","AT_OE",-0.0718270993774912,0.102397073567425,-0.701456563894823,0.483371312347636,-0.00433984472249538,0.00179627886233389,-2.41601947976867,0.0160780754198183,0.00154225861462358,0.00337402513647901,0.45709754736238,0.647815785573073,-0.00314214233279452,0.00136823107053604,-2.29649976561599,0.0220939716655071,0.975514892550196,466,0.986456375310863,0.0518071319083033,0.735879586576465,0.106787529716618
"downstream1","CA_OE",0.136486479438502,0.143071907455204,0.95397120137813,0.340597076819811,0.00427260237204199,0.00175877426840049,2.4293068467096,0.015507984461298,0.00548984377996106,0.00340670268457531,1.61148309326132,0.107757386333696,0.000936677254603251,0.00137436634317165,0.681533900518592,0.495875210596124,0.989879597400021,466,0.986456375310863,0.0514588493416718,0.162335802788426,0.697907875003854
"downstream1","CC_OE",0.0241880881574725,0.213184586211749,0.113460774004774,0.909714546149243,-0.00595858761396294,0.00233983243309379,-2.5465873238129,0.0112015757813246,0.000643168192675389,0.00458712785791908,0.140211525075553,0.888553972815617,0.00243601335542624,0.00184447490033918,1.32070832461763,0.187252466324132,0.99242773572346,466,0.986456375310863,0.0419155738914083,0.912143901297447,0.38107519462455
"downstream1","CG_OE",-0.29854679112414,0.483092994111086,-0.617990314004615,0.536886236180051,-0.00463310855057598,0.00530654307385709,-0.873093553767836,0.38306564716487,-0.0389979191243777,0.0104022850987002,-3.74897618690056,0.000200079441747895,-0.0104076158713145,0.00418285483232886,-2.48816090648786,0.0131919373159751,0.992411891209674,466,0.986456375310863,0.535368856278614,0.00165780108876827,0.0774485025448073
"downstream1","CT_OE",0.0415478260219846,0.194125389835546,0.214025718414176,0.830621426434294,0.00435957150058608,0.00211375029985261,2.06248178930599,0.0397203447328341,0.00932429248620562,0.00414757628402443,2.24813043755718,0.0250386172578798,0.00283714984798347,0.00166726847313431,1.70167546121105,0.0894890020597771,0.992581719851105,466,0.986456375310863,0.100164347587147,0.0573761794541965,0.235925550884867
"downstream1","GA_OE",0.141110197946867,0.106191328576338,1.32882976264326,0.184560055357743,-0.00128802375769529,0.00152521372481918,-0.844487390020037,0.398834187579781,0.00589465988538865,0.0029109398804298,2.02500227676235,0.0434417050733025,0.00362034225718043,0.00117781821396144,3.07376997083774,0.0022388136744811,0.985033009214742,466,0.986456375310863,0.550771020943508,0.0799879014048109,0.0223490081471916
"downstream1","GC_OE",-0.00731979281274545,0.150901133496132,-0.0485072089463999,0.961332981461333,-0.00270241737843626,0.00262478875291042,-1.02957518978995,0.303748167567363,0.000716488378003793,0.00493324704713299,0.145236670930597,0.884587353936243,-0.00831116011017486,0.00200036697880367,-4.15481769007475,3.87930792455583e-05,0.976015481147361,466,0.986456375310863,0.42969252972944,0.912143901297447,0.00449999719248477
"downstream1","GG_OE",-0.0796377942777009,0.14784991261984,-0.538639440947593,0.590395096117121,-0.00126179092648338,0.00182663957166015,-0.690771702343334,0.490055925801921,-0.0109072842591429,0.00353635912634819,-3.08432596052718,0.00216243442630745,0.000705601676305058,0.00142684558622143,0.49451859620888,0.621175039548653,0.989750043695439,466,0.986456375310863,0.611120592497416,0.00895865690898801,0.77249393977552
"downstream1","GT_OE",-0.120130304974132,0.159988293114167,-0.750869345723989,0.453113558549797,0.00603416617699701,0.00173982019205637,3.46826999970898,0.000572863671529439,-0.00207379467617255,0.0034143420764441,-0.60737753562535,0.543898795296328,0.00110876241662696,0.00137245633184824,0.807867172818403,0.419582806377392,0.992606167181968,466,0.986456375310863,0.00474658470695821,0.624675844102714,0.647926635538543
"downstream1","TA_OE",-0.39920359365814,0.264360472719118,-1.51007293016264,0.131708420155139,0.00208292637172481,0.00321260047753504,0.648361471116691,0.517073295312727,0.0132015371766328,0.00623003933541024,2.11901345495493,0.0346222553995112,-0.0045190299621993,0.00251267097032462,-1.79849650653443,0.072750980322442,0.990171164622944,466,0.986456375310863,0.624796898502878,0.0713951549189494,0.200931278985792
"downstream1","TC_OE",0.0658257575349871,0.186547473303904,0.352863302671221,0.724351855168895,-0.00130285218836065,0.0017472193781699,-0.745671782627149,0.456244915375841,-0.0114284890286294,0.00348961411324306,-3.27500080460425,0.00113604093112169,0.00120609976578841,0.00139357769375805,0.865470056811783,0.387230030508365,0.994993479869911,466,0.986456375310863,0.583452386636893,0.0054729721511758,0.641695479128148
"downstream1","TG_OE",0.205242854678018,0.164251196732478,1.2495668753775,0.212090467423945,0.00298946620075603,0.00166595339563613,1.7944476769799,0.0733953841253956,0.0144356708807331,0.0032955583110944,4.3803415136476,1.46744547287478e-05,0.00227467062028651,0.00132109722189945,1.72180410539054,0.0857743596967156,0.993829413920549,466,0.986456375310863,0.163728164587421,0.000212779593566844,0.231391295926023
"downstream1","TT_OE",0.126696208770558,0.238392207688192,0.531461200008148,0.595354648678526,-0.00476887921275407,0.0017411449083741,-2.7389329801431,0.00640220652523043,-0.00295478848455267,0.00359436751322916,-0.822060758583392,0.411466363855799,-0.000688129430453896,0.00141093913508116,-0.487710216085483,0.625986468438783,0.997438346599232,466,0.986456375310863,0.0313338121609974,0.497188522992423,0.77249393977552
"downstream2","AA_OE",0.116725947454077,0.222789062660336,0.523930331499429,0.600578241524077,-0.003769683305032,0.00146937039980465,-2.56550921778006,0.0106169375713899,-0.00783666154975531,0.00307872911559483,-2.54542093685992,0.0112385353859525,-7.42722979991106e-05,0.00119709843739765,-0.0620436011599595,0.950554941946188,0.998070513061286,466,0.986456375310863,0.0411734276189219,0.0310397643992973,0.967810242905923
"downstream2","AC_OE",-0.0474052217719978,0.14302547179439,-0.331446008723161,0.740457908443638,0.00798928919918284,0.00197345611857369,4.0483743844059,6.04672940962455e-05,0.0085948891095478,0.0037800713123351,2.27373729207198,0.0234398034147032,0.00326008896529295,0.00152854067494944,2.13281139240916,0.0334667054531124,0.986459630362741,466,0.986456375310863,0.0010020294450235,0.0554901468592973,0.129404594418701
"downstream2","AG_OE",-0.0643897038070968,0.241222109840834,-0.266931185742398,0.789641250513892,0.00502179581894506,0.00167653019198059,2.99535066112498,0.00288861514070123,0.00736763770269409,0.00348577088925878,2.11363223136583,0.0350821019860355,-0.000296469960641719,0.00136223983128861,-0.217634188806,0.827810229211244,0.997766670758795,466,0.986456375310863,0.0197105503718437,0.0713951549189494,0.941431241063768
"downstream2","AT_OE",-0.0664265613090474,0.234505387279084,-0.28326241064131,0.777102571010102,-0.0019585090542387,0.00157103279075381,-1.24663792236887,0.213161967981461,0.0036725138212073,0.00328409784812197,1.11827174190545,0.26403207951402,-0.00249939361561534,0.00127893031261567,-1.95428444455553,0.0512704444151304,0.997984084412012,466,0.986456375310863,0.323323825397119,0.340308013595848,0.168543490848817
"downstream2","CA_OE",0.147474002719238,0.151089535801513,0.976070261496965,0.329540442966044,0.00520854926396971,0.00170382993309201,3.05696546516092,0.00236553601585038,3.85205881351029e-05,0.00333035526140102,0.0115665102103545,0.990776458739066,-0.000116906973156938,0.00134033276695611,-0.0872223495829575,0.930532565530038,0.991880939700043,466,0.986456375310863,0.0171501361149152,0.990776458739066,0.967810242905923
"downstream2","CC_OE",0.0584228857671773,0.236925888796629,0.246587175694108,0.805337256457792,-0.00689056510541497,0.00236183193521421,-2.91746631192452,0.00370087659302968,0.0056578477067778,0.00468167811269547,1.20850848148556,0.227469915270216,0.00307015096542005,0.00187532383475059,1.6371310962559,0.102284005407722,0.994102202795407,466,0.986456375310863,0.0225948255153391,0.296477642374663,0.247186346401995
"downstream2","CG_OE",-0.26149381009485,0.445676722988193,-0.58673427757585,0.557668764805124,-0.00833063183165593,0.00474852862174482,-1.75436066521905,0.0800316670592724,-0.0163353794398776,0.00934028734185992,-1.74891615664414,0.0809695980851039,-0.00458737196316338,0.00375169495035204,-1.22274652493613,0.222048827982931,0.992986876343698,466,0.986456375310863,0.17516364865803,0.130451019137112,0.415446194290646
"downstream2","CT_OE",-0.0728726457176817,0.214498508424294,-0.339734976494728,0.734210511243333,0.00471090068249504,0.00171284154665586,2.75034237211992,0.00618698525869956,0.00274219236036386,0.00349239000294038,0.785190759925181,0.432744193343142,-0.000182115742472775,0.00138073158271267,-0.131898005921599,0.895122386771492,0.996731725261236,466,0.986456375310863,0.0313338121609974,0.512227820691882,0.967810242905923
"downstream2","GA_OE",0.0158574036324282,0.179351440753711,0.0884152564695809,0.929584947549184,-0.000346664883878868,0.00172760213452472,-0.200662454017076,0.841050824522065,-0.00757878230465793,0.00343861121038555,-2.20402419493309,0.0280150758073512,0.000141174963452679,0.00137517022252354,0.102659991570798,0.918277371506299,0.994609528328854,466,0.986456375310863,0.886926324041451,0.0624951691087064,0.967810242905923
"downstream2","GC_OE",0.0589304564358238,0.241095092831981,0.24442826995609,0.807007665525813,-0.00219548805999122,0.00284536603521069,-0.771601274782438,0.440745091852377,0.0034154266058559,0.00553466350260126,0.617097426835554,0.53747446357926,-0.00792840808988169,0.00223049088729618,-3.55455749002972,0.000417602130508858,0.990877546911731,466,0.986456375310863,0.583452386636893,0.623470377751941,0.00763757339534084
"downstream2","GG_OE",0.0112937669267512,0.209036190046278,0.0540278069756767,0.956936364263476,-0.00399065005879064,0.00233212010262078,-1.71116832889783,0.0877212563698643,0.00682538600950763,0.00456377425110956,1.49555732469638,0.13545180064835,0.00396043849199373,0.0018360957830778,2.15698904626585,0.0315216162498439,0.992101993155468,466,0.986456375310863,0.181708316766148,0.198891251584919,0.129404594418701
"downstream2","GT_OE",-0.0617947550635544,0.135941291924128,-0.454569426175848,0.64963253735593,0.00583577129569344,0.00183909675735616,3.17317252197366,0.00160839502458081,0.00132483206654322,0.00352915149899148,0.375396768011183,0.707537694962786,0.00235795004964199,0.00142659862644581,1.65284755356629,0.0990412435269747,0.98711211275968,466,0.986456375310863,0.0124382548567583,0.789176659766184,0.244442218066576
"downstream2","TA_OE",-0.264073786768252,0.32856740106408,-0.803712680908201,0.421976252966253,-0.000178991184731396,0.00228729267106524,-0.0782546051039617,0.93765940717354,0.00938363710444666,0.00475452241642324,1.97362348572243,0.0490199972786636,-0.00219499681714704,0.00185834754681642,-1.1811551724581,0.238148762541362,0.997756610412755,466,0.986456375310863,0.954109572211672,0.0836223482988966,0.438496134203142
"downstream2","TC_OE",-0.0293088158644473,0.214205796146791,-0.13682550328546,0.891228328582386,2.42252341585384e-05,0.0016476802923798,0.0147026302800217,0.988275767833955,-0.0129433493619369,0.00337679664120799,-3.83302601168979,0.00014410493513687,-0.0010848796209287,0.00133121883708451,-0.814952125605952,0.415519611731442,0.997047778339737,466,0.986456375310863,0.988275767833955,0.0012858594212213,0.647926635538543
"downstream2","TG_OE",0.148176889256758,0.178112280084727,0.831929663615957,0.405878439774923,0.00257106123930042,0.00149673110115607,1.71778433501819,0.0865060268334381,0.000787691571660231,0.00303100610617024,0.259877923062155,0.795073712488224,0.00101075653607383,0.00120262853088174,0.840456142623495,0.401087426304953,0.99624948709786,466,0.986456375310863,0.181708316766148,0.86194907148256,0.646196409046869
"downstream2","TT_OE",0.123665877649527,0.211803908784031,0.583869666804048,0.559592951610651,-0.00149089205655706,0.00137638041546288,-1.08319766817931,0.279285683632937,0.0023982308699067,0.00289028418823036,0.829756077161073,0.407105237315861,0.000819824817189051,0.0011221465290161,0.730586243409653,0.465402237857998,0.998149146664969,466,0.986456375310863,0.404964241267758,0.497188522992423,0.679381204178211
"exon","AA_OE",0.0588949738901939,0.194898109280992,0.302183402945601,0.762648244663063,-0.00326629697328771,0.0012736728798059,-2.56447085046316,0.0106483002462729,-0.00911302224375388,0.0026723513122701,-3.41011385812615,0.000706322229705277,-0.00138454186780913,0.00103812801845468,-1.33369087742195,0.182962315598063,0.998119608624661,466,0.986456375310863,0.0411734276189219,0.00390158945932439,0.38107519462455
"exon","AC_OE",-0.05848153569249,0.144189794898429,-0.405587203544368,0.685233694224553,0.0059694580611539,0.00154111346217676,3.8734708427777,0.00012278866645607,0.00731323902127504,0.00303027301507505,2.41339278173716,0.016192936335758,0.00175281046964235,0.00121730662434239,1.43990875806599,0.150570467159547,0.992929735373972,466,0.986456375310863,0.00118695710907535,0.0417417914432874,0.323447670194583
"exon","AG_OE",0.00418723421682082,0.186553205802582,0.0224452546864936,0.982102472089489,0.00204972210914204,0.00177101017956298,1.15737454973174,0.247717384738836,0.00687339184349936,0.00353126696734088,1.94643789525638,0.0522079631436848,0.00178311401263401,0.00141119720170891,1.26354701559408,0.207029880613076,0.994812091482424,466,0.986456375310863,0.363736919363354,0.0877699090531512,0.400257769185281
"exon","AT_OE",-0.0379615298414912,0.115098064978837,-0.329819009976155,0.741686211667417,-0.00348852098834194,0.00161002779843624,-2.16674581130227,0.030764686217381,0.000453535419940239,0.00308008716261326,0.147247592680281,0.883000831811553,-0.00252698537822971,0.00124576350306012,-2.02846316497663,0.0430861153865489,0.985987668554814,466,0.986456375310863,0.0849691333622904,0.912143901297447,0.153911583117754
"exon","CA_OE",0.151136969303797,0.160677332138005,0.940624089862197,0.34738907596889,0.00437653412516613,0.00169644765141434,2.5798226791834,0.010192937531606,0.00452590861338466,0.00334034248418714,1.35492352500077,0.176104064689579,0.00170017369783422,0.00134124376680267,1.26760976633441,0.205575851431368,0.993150390808177,466,0.986456375310863,0.0411734276189219,0.237535715162687,0.400257769185281
"exon","CC_OE",-0.0126213041015375,0.213414474051143,-0.0591398692973041,0.952866274647507,-0.00290877682639484,0.00219347176583994,-1.32610634506207,0.185459697856261,0.00368100037824826,0.00433238187321221,0.849648181063736,0.39596078316713,0.00253121946939269,0.00173770404136963,1.45664590121896,0.145893425637537,0.99361263645801,466,0.986456375310863,0.298796179879531,0.493886568251474,0.319313912716119
"exon","CG_OE",-0.310230700776465,0.519559060107794,-0.597103822445326,0.550730574211978,-0.00369172340720188,0.00546996534204777,-0.674908006970996,0.500071819488758,-0.0346527955080478,0.010773981252962,-3.21634080238641,0.00138949604758563,-0.00956531148130522,0.00432558707720637,-2.21133254528837,0.0275016814418301,0.99320077892284,466,0.986456375310863,0.611120592497416,0.00596968672296048,0.122699809509703
"exon","CT_OE",0.0431913566782353,0.251544438416944,0.171704677511669,0.863744890824288,0.00138144694045449,0.00204885062612752,0.674254590763178,0.500486692131505,0.00528165103682538,0.00416634805275074,1.26769318596373,0.205546074349484,0.000196458679350351,0.0016495499383592,0.119098352090975,0.905249204329151,0.996551849353844,466,0.986456375310863,0.611120592497416,0.274061432465978,0.967810242905923
"exon","GA_OE",0.129394260048046,0.150609097130899,0.859139736662686,0.390708971125271,-0.000609546175867403,0.00133615027630617,-0.456195823685727,0.648463539201925,-0.000914487409029631,0.0026868461186754,-0.34035719525332,0.733742250315805,0.00286058182189054,0.0010697342251559,2.67410516988335,0.00775846189863383,0.995664047337384,466,0.986456375310863,0.729367466083876,0.810610486063175,0.0529400929553838
"exon","GC_OE",-0.0231225348043358,0.155850544615739,-0.1483635162222,0.882120623606954,-0.00128509569895973,0.0025689426031154,-0.500243056190228,0.617142137162117,-0.000388181909679952,0.00484760432231438,-0.0800770615483368,0.936210640978546,-0.00771512694646517,0.00196462542426011,-3.92702183897001,9.91227567122524e-05,0.97896879059323,466,0.986456375310863,0.715884879108056,0.952635389065889,0.00574888743564163
"exon","GG_OE",-0.0794795736707996,0.156295280513638,-0.508521904241788,0.61133011741489,-8.37970756885912e-05,0.00162617387787707,-0.0515302064733609,0.95892530441975,-0.00665252951088345,0.00320735491794245,-2.0741482252769,0.038618845506169,0.00102883343496586,0.00128710255342352,0.799340683638074,0.424503657766632,0.993406106970462,466,0.986456375310863,0.967263785327748,0.0734391160445181,0.647926635538543
"exon","GT_OE",-0.103094134671495,0.150369418218711,-0.68560572949445,0.49330564151599,0.0041044905864536,0.00151942899733976,2.70133753774596,0.00716004755625038,0.00434445115415461,0.00300703359679446,1.44476309103625,0.149202313267882,0.000862868719263568,0.00120523964252972,0.715931246214622,0.474395496020992,0.99388967627469,466,0.986456375310863,0.0319448275586556,0.213672448630547,0.679381204178211
"exon","TA_OE",-0.496293328953294,0.452772073566977,-1.09612177501022,0.273596525787801,0.00063302751116511,0.00345919493211566,0.182998507915236,0.854879467756183,0.0235456210963688,0.00709602981666802,3.31814010153424,0.000977786977294153,-0.00504840035517608,0.00279592664878115,-1.80562689560431,0.0716274198652289,0.997101919653759,466,0.986456375310863,0.893387551889345,0.00515560406209644,0.200931278985792
"exon","TC_OE",0.100192233340913,0.227756682847762,0.439909082307296,0.660208674488723,-0.000846137025532037,0.00168727087579331,-0.50148262360909,0.616270375518162,-0.0119662909726928,0.00347615013163621,-3.4423976294316,0.00062902900283248,0.000713474890651163,0.00136618720511346,0.52223801246324,0.601754928886495,0.99733633349453,466,0.986456375310863,0.715884879108056,0.00364836821642838,0.77249393977552
"exon","TG_OE",0.233767014174687,0.158933736890607,1.47084576722429,0.142013574813558,0.00254320296194192,0.00174163279589356,1.46024062473922,0.144903622421382,0.0101926145594392,0.00341498725315143,2.9846713337021,0.00298938140153676,0.00263215681480603,0.00137308420681745,1.91696678305468,0.0558586350267983,0.992458634835089,466,0.986456375310863,0.247188532365888,0.0114520117289252,0.175124369273206
"exon","TT_OE",0.090824433074425,0.321129912698962,0.282827695218686,0.777435596374474,-0.00111134728784596,0.001636557430056,-0.679076253259218,0.4974295949939,-0.00431724305675973,0.00356988780198021,-1.20934978807036,0.227146982859978,0.00049323973864606,0.00134757277050899,0.366020855749228,0.714517055051103,0.999082298872044,466,0.986456375310863,0.611120592497416,0.296477642374663,0.837211902888161
"genome","AA_and_TT_OE",0.127073605546931,0.136303918189287,0.932281384387368,0.351678061860622,-0.00385530096813242,0.00199187083044077,-1.93551755927833,0.0535366468176914,-0.00946993179264113,0.00379581999481893,-2.49483163204974,0.0129498309055667,0.00179711887742657,0.00153622803056656,1.16982559989079,0.242674294069072,0.984375015465528,466,0.986456375310863,0.129380229809421,0.0349344275592032,0.439847158000192
"genome","AC_and_GT_OE",-0.0759395170755309,0.121623216558071,-0.624383396728144,0.532684030304395,0.00901913281986601,0.00210326813821101,4.28815168927414,2.19482919962857e-05,0.0110913546841095,0.00395471741669609,2.80458842325469,0.00525046922369386,0.00524354880136478,0.00160349885551795,3.27006706822442,0.0011555807066642,0.97635271957216,466,0.986456375310863,0.000809070082859508,0.0179133655867202,0.015655675405058
"genome","AG_and_CT_OE",-0.0636372260945249,0.209672037554457,-0.303508406923344,0.761639072455977,0.0041458450375095,0.00176973598657396,2.34263475962619,0.0195716482581664,-0.00587664607285406,0.00358178125913002,-1.64070490286764,0.101539277133472,-7.11127323488324e-05,0.00142158022134847,-0.0500237209838057,0.96012510449455,0.996204743526047,466,0.986456375310863,0.059745031524929,0.157047415299771,0.968474018446676
"genome","AT_OE",-0.0647456319392803,0.136531703710364,-0.474216831547275,0.635569336468754,-0.00308679172928213,0.00199519927811224,-1.54710948582675,0.122521545629866,0.00893215911611777,0.00380216291730038,2.34923103254602,0.0192324534939756,-0.00500970993718026,0.00153879510802768,-3.25560557805603,0.00121466447108209,0.984375021016187,466,0.986456375310863,0.220704836034787,0.0474673320276845,0.015655675405058
