organism_name,assembly_id,genome_ftp_path,checksums_ftp_path
Acanthocheilonema viteae,GCA_046563165.1_ASM4656316v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/563/165/GCA_046563165.1_ASM4656316v1/GCA_046563165.1_ASM4656316v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/563/165/GCA_046563165.1_ASM4656316v1/md5checksums.txt
Acanthopleura granulata,GCA_016165875.1_ASM1616587v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/165/875/GCA_016165875.1_ASM1616587v1/GCA_016165875.1_ASM1616587v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/165/875/GCA_016165875.1_ASM1616587v1/md5checksums.txt
Acanthoscurria geniculata,GCA_000661875.1_Agen_v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/661/875/GCA_000661875.1_Agen_v1/GCA_000661875.1_Agen_v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/661/875/GCA_000661875.1_Agen_v1/md5checksums.txt
Acrobeloides nanus,GCA_964656895.1_nxAcrNanu1.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/656/895/GCA_964656895.1_nxAcrNanu1.1/GCA_964656895.1_nxAcrNanu1.1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/656/895/GCA_964656895.1_nxAcrNanu1.1/md5checksums.txt
Adalia bipunctata,GCA_910592335.1_icAdaBipu1.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/910/592/335/GCA_910592335.1_icAdaBipu1.1/GCA_910592335.1_icAdaBipu1.1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/910/592/335/GCA_910592335.1_icAdaBipu1.1/md5checksums.txt
Adineta ricciae,GCA_905250025.1_Ar_ARIC003_reference_genomic_v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/250/025/GCA_905250025.1_Ar_ARIC003_reference_genomic_v1/GCA_905250025.1_Ar_ARIC003_reference_genomic_v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/250/025/GCA_905250025.1_Ar_ARIC003_reference_genomic_v1/md5checksums.txt
Adineta vaga,GCA_021613535.1_ASM2161353v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/613/535/GCA_021613535.1_ASM2161353v1/GCA_021613535.1_ASM2161353v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/613/535/GCA_021613535.1_ASM2161353v1/md5checksums.txt
Aeolidia papillosa,GCA_032466315.1_ASM3246631v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/466/315/GCA_032466315.1_ASM3246631v1/GCA_032466315.1_ASM3246631v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/466/315/GCA_032466315.1_ASM3246631v1/md5checksums.txt
Agrilus planipennis,GCA_000699045.2_Apla_2.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/699/045/GCA_000699045.2_Apla_2.0/GCA_000699045.2_Apla_2.0_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/699/045/GCA_000699045.2_Apla_2.0/md5checksums.txt
Alitta virens,GCA_932294295.1_wpAliVire1.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/932/294/295/GCA_932294295.1_wpAliVire1.1/GCA_932294295.1_wpAliVire1.1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/932/294/295/GCA_932294295.1_wpAliVire1.1/md5checksums.txt
Amphibalanus amphitrite,GCA_019059575.1_NRLGWU_Aamphi_draft,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/059/575/GCA_019059575.1_NRLGWU_Aamphi_draft/GCA_019059575.1_NRLGWU_Aamphi_draft_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/059/575/GCA_019059575.1_NRLGWU_Aamphi_draft/md5checksums.txt
Amphibalanus improvisus,GCA_964274985.1_qhAmpImpr1.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/274/985/GCA_964274985.1_qhAmpImpr1.1/GCA_964274985.1_qhAmpImpr1.1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/274/985/GCA_964274985.1_qhAmpImpr1.1/md5checksums.txt
Amphioctopus burryi,GCA_026873925.1_ASM2687392v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/873/925/GCA_026873925.1_ASM2687392v1/GCA_026873925.1_ASM2687392v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/873/925/GCA_026873925.1_ASM2687392v1/md5checksums.txt
Ampullaceana balthica,GCA_944989445.1_Rbalt_genome_v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/944/989/445/GCA_944989445.1_Rbalt_genome_v1/GCA_944989445.1_Rbalt_genome_v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/944/989/445/GCA_944989445.1_Rbalt_genome_v1/md5checksums.txt
Anadara kagoshimensis,GCA_021292105.1_ASM2129210v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/292/105/GCA_021292105.1_ASM2129210v1/GCA_021292105.1_ASM2129210v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/292/105/GCA_021292105.1_ASM2129210v1/md5checksums.txt
Ancula gibbosa,GCA_031833985.1_ASM3183398v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/833/985/GCA_031833985.1_ASM3183398v1/GCA_031833985.1_ASM3183398v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/833/985/GCA_031833985.1_ASM3183398v1/md5checksums.txt
Ancylostoma caninum,GCA_037903475.1_UNMC_Acan_hybrid,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/903/475/GCA_037903475.1_UNMC_Acan_hybrid/GCA_037903475.1_UNMC_Acan_hybrid_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/903/475/GCA_037903475.1_UNMC_Acan_hybrid/md5checksums.txt
Ancylostoma ceylanicum,GCA_000688135.1_Acey_2013.11.30.genDNA,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/688/135/GCA_000688135.1_Acey_2013.11.30.genDNA/GCA_000688135.1_Acey_2013.11.30.genDNA_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/688/135/GCA_000688135.1_Acey_2013.11.30.genDNA/md5checksums.txt
Ancylostoma duodenale,GCA_000816745.1_A_duodenale_2.2.ec.cg.pg,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/816/745/GCA_000816745.1_A_duodenale_2.2.ec.cg.pg/GCA_000816745.1_A_duodenale_2.2.ec.cg.pg_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/816/745/GCA_000816745.1_A_duodenale_2.2.ec.cg.pg/md5checksums.txt
Anentome helena,GCA_009936545.3_ASM993654v3,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/936/545/GCA_009936545.3_ASM993654v3/GCA_009936545.3_ASM993654v3_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/936/545/GCA_009936545.3_ASM993654v3/md5checksums.txt
