Organism Name,Region,Average_lifespan_days,Tip_Name,Genome_size_bp,AA_OE,AT_OE,AG_OE,AC_OE,TA_OE,TT_OE,TG_OE,TC_OE,GA_OE,GT_OE,GG_OE,GC_OE,CA_OE,CT_OE,CG_OE,CC_OE,CA_and_TG_OE,AC_and_GT_OE,AG_and_CT_OE,GA_and_TC_OE,AA_and_TT_OE,CC_and_GG_OE
Armadillidium vulgare,genome,730.0,Armadillidium_vulgare_ott776700,15703284.0,,0.901974,,,0.811347,,,,,,,1.043211,,,0.628643,,1.0526689399173597,0.8581431361733163,1.061117024700419,1.050059303032252,1.1378334682238216,1.142142005972702
Trichinella zimbabwensis,genome,60.0,Trichinella_zimbabwensis_ott584335,50795114.0,,0.926029,,,0.687999,,,,,,,1.407332,,,0.960695,,1.2553632127827412,0.9029085065745487,0.82728304796651,0.9612062398719279,1.2060318136800412,0.8702439675246997
Panagrellus redivivus,genome,32.775,Panagrellus_redivivus_ott395066,65093147.0,,0.923588,,,0.624261,,,,,,,1.0778,,,1.090779,,1.1128157307320634,0.9293881299728316,0.8282822182787143,1.0220223462110436,1.268750010085126,0.9833928973977821
Gyrodactylus salaris,genome,58.0,Gyrodactylus_salaris_ott975572,67380660.0,,0.940246,,,0.731203,,,,,,,0.938471,,,0.785016,,1.0570520240702388,0.8135944212504723,1.0225336713869189,1.1873962262186593,1.1436547585843502,1.059518825896269
Brugia malayi,genome,2677.305,Brugia_malayi_ott295367,87155713.0,,0.919505,,,0.744304,,,,,,,1.255705,,,0.875436,,1.1467482257747506,0.8506435442556916,0.9123107597840857,1.0573894438159543,1.174630785536827,0.9758737809980192
Loa loa,genome,4675.275,Loa_loa_ott555803,91365832.0,,0.953809,,,0.744981,,,,,,,1.134685,,,0.902203,,1.1415222212393197,0.8568221958079235,0.8948653730096882,1.0752004554967862,1.1576634016405913,1.0168637310909556
Tetranychus urticae,genome,50.0,Tetranychus_urticae_ott106112,90815494.0,,0.9172,,,0.636231,,,,,,,0.942935,,,0.658551,,1.2353820523415544,0.8725679803767178,0.9298408858372903,1.1572667270082748,1.1768625479516264,0.9943535224140254
Onchocerca volvulus,genome,3872.925,Onchocerca_volvulus_ott819809,96340582.0,,0.95163,,,0.708214,,,,,,,1.227233,,,0.986979,,1.1369833753476781,0.7922045679586932,0.8866169649526174,1.1323581159445377,1.1807615602569423,0.955725545866961
Coboldia fuscipes,genome,26.41,Coboldia_fuscipes_ott874412,98759061.0,,0.996739,,,0.772201,,,,,,,0.931807,,,0.961219,,1.2177947945676526,0.9624375204425412,0.7653955441674015,1.0333563318492107,1.1200484354616076,1.0779271778913868
Platynothrus peltifer,genome,421.0,Platynothrus_peltifer_ott80780,100532934.0,,0.941069,,,0.764973,,,,,,,1.081147,,,0.827336,,1.151507133797174,0.8840907245580549,0.9561545525664848,1.1205094411803584,1.1239794448946951,0.9088044597230228
Trichuris muris,genome,156.25,Trichuris_muris_ott349934,111837642.0,,0.911062,,,0.746898,,,,,,,1.181562,,,1.077459,,1.0899392620142947,0.9461754341118175,0.9216287058196179,0.9814439303077879,1.1955317592241903,0.9081892553586559
Drosophila melanogaster,genome,69.64,Drosophila_melanogaster_ott505714,143726002.0,,0.966405,,,0.768714,,,,,,,1.254844,,,0.937108,,1.115578555217318,0.8640370720788579,0.8932807584015614,0.9146674133253346,1.2093719106511598,1.0506654035840912
Taenia saginata,genome,9332.25,Taenia_saginata_ott1021818,169104283.0,,0.902959,,,0.725519,,,,,,,1.121742,,,0.757923,,1.1846515754938474,0.9296646448059247,1.0081446798151112,0.9865439084574945,1.1443614018363772,0.9884276798471471
Taenia asiatica,genome,10054.4125,Taenia_asiatica_ott614168,168679183.0,,0.902307,,,0.725742,,,,,,,1.119583,,,0.759544,,1.1832634077938051,0.9303178528421208,1.0081378894596265,0.9877881027816546,1.144428824075102,0.9882787532746576
Hymenolepis microstoma,genome,983.7,Hymenolepis_microstoma_ott1004838,168943216.0,,0.938051,,,0.781463,,,,,,,1.060131,,,0.788824,,1.1036972229595239,0.8892224028618307,0.9864665273947478,1.045786032931261,1.1330460816488326,1.0535284965109555
Caenorhabditis inopinata,genome,34.0,Caenorhabditis_inopinata_ott7073336,122994328.0,,0.891434,,,0.618624,,,,,,,1.074835,,,1.097142,,1.0293266534642715,0.8181484946419676,0.9205543459671582,1.145691021775229,1.2719428714162686,0.9829918874512056
Anopheles sinensis,genome,16.16,Anopheles_sinensis_ott788095,220777669.0,,0.915102,,,0.695066,,,,,,,1.058399,,,1.143892,,1.047504645594573,0.9401451262097852,0.8213405546153889,0.9954779111880508,1.2712971058429605,1.0239828967489342
Helobdella robusta,genome,331.0,Helobdella_robusta_ott870792,235376169.0,,0.988474,,,0.782628,,,,,,,1.061358,,,0.884546,,1.2910217519288438,1.037146024423086,0.809983684444236,0.977450158291702,1.0862133228805124,0.9087111893914664
Goniozus legneri,genome,110.56,Goniozus_legneri_ott251688,140141882.0,,0.993345,,,0.807511,,,,,,,1.06041,,,1.563824,,0.8280186563256912,0.8645241399472555,0.8476434807870838,1.1556807498672759,1.2036955835910652,0.9099802487453332
Haemonchus contortus,genome,829.1111111,Haemonchus_contortus_ott819797,283439308.0,,0.93542,,,0.744816,,,,,,,1.002247,,,0.893514,,1.0871427368998547,0.920102687727742,1.0005998194283396,1.0853064235330203,1.124617866444196,0.9905965741821461
Ancylostoma ceylanicum,genome,243.0,Ancylostoma_ceylanicum_ott459448,313092710.0,,0.932191,,,0.717531,,,,,,,1.068005,,,0.938088,,1.095102396833851,0.9053514101745467,0.9711364925101713,1.0612816416568998,1.162651958074743,0.9753160509319466
Capitella teleta,genome,121.0416667,Capitella_teleta_ott707082,333283208.0,,1.040995,,,0.757326,,,,,,,1.114034,,,0.841561,,1.2023757693415407,0.9004856262431203,0.9150345544977032,1.0324570371463195,1.0837938369467481,0.9850194706615708
Toxocara canis,genome,2646.25,Toxocara_canis_ott870349,317115901.0,,0.926864,,,0.717858,,,,,,,1.213156,,,1.069611,,1.1003262771778037,0.8955944416207512,0.9261474808766827,1.0355547381100896,1.191790552088025,0.8903349167940612
Ancylostoma duodenale,genome,3049.25,Ancylostoma_duodenale_ott332059,332875813.0,,0.918574,,,0.719685,,,,,,,1.06933,,,0.912025,,1.0967999193292157,0.9044047126450736,0.9869900471382389,1.0626392701979155,1.162090031244781,0.974929686001171
Agrilus planipennis,genome,152.23,Agrilus_planipennis_ott315327,353056831.0,,0.906269,,,0.857656,,,,,,,1.025172,,,1.024081,,1.0244345027562822,0.9779292804103767,0.9241529450934942,0.970109069140818,1.1451839968701145,1.0737730947558597
Lottia gigantea,genome,6077.25,Lottia_gigantea_ott840650,359505668.0,,0.963616,,,0.826666,,,,,,,0.913076,,,0.625403,,1.1814049018496235,0.9723531607164434,0.9620487619351796,1.0276043050116093,1.069102717882158,1.0869443719265877
Lingula anatina,genome,2920.0,Lingula_anatina_ott1027439,406282338.0,,0.932917,,,0.801958,,,,,,,1.041381,,,0.576224,,1.2197538182388703,0.9722064487057653,0.9621269179834532,0.9432455950515123,1.104698189263193,1.1061685334527425
Ceratitis capitata,genome,99.3,Ceratitis_capitata_ott34902,436474819.0,,0.916463,,,0.811354,,,,,,,1.333765,,,1.029508,,1.0990480511273544,0.9195554997594452,0.8902745223388724,0.9057324165099964,1.1860596083200508,0.9902936583849745
Sipha flava,genome,43.0,Sipha_flava_ott443995,353187871.0,,1.000609,,,0.946005,,,,,,,1.106642,,,1.461255,,1.0151134715861558,1.0276657095280335,0.7406676862286696,0.8803791381305468,1.0988662256685446,1.1074543211625456
Megaselia scalaris,genome,60.28,Megaselia_scalaris_ott430572,489347612.0,,0.922239,,,0.799263,,,,,,,0.962372,,,0.750745,,1.0559865194809726,0.8808127579584256,0.973824105557548,1.0423030527313586,1.151411344743107,1.1889020630048637
Heliothis virescens,genome,47.49,Heliothis_virescens_ott742356,404004474.0,,0.928476,,,0.905381,,,,,,,1.130669,,,1.033121,,1.0424591644282715,0.9942830172626279,0.9168016352124482,0.9084336561957381,1.123102482655982,1.0370927180366205
Trichoplusia ni,genome,35.2,Trichoplusia_ni_ott167935,368226961.0,,0.923476,,,0.894693,,,,,,,1.114123,,,1.070344,,1.0475453141796898,1.0094307197861474,0.9073210760245863,0.9211944069740646,1.12261565994442,1.01118261488735
Hyalella azteca,genome,185.0,Hyalella_azteca_ott648347,542348180.0,,0.973589,,,0.814149,,,,,,,1.203167,,,0.940373,,1.1293457713714574,0.919312111960225,0.9338572303839399,0.981023361827331,1.1174587672815717,0.9575571448685432
Pomacea canaliculata,genome,1137.213889,Pomacea_canaliculata_ott229287,440159624.0,,0.862874,,,0.739231,,,,,,,1.020558,,,0.639568,,1.235581651317671,1.014900018754967,1.027553577103363,0.9876361861624842,1.1080876578949628,0.9757331692475822
Crassostrea virginica,genome,2930.95,Crassostrea_virginica_ott365708,684723884.0,,0.955177,,,0.793805,,,,,,,0.945942,,,0.696161,,1.1795807877357576,0.9618780391443755,0.9142563293516187,0.9984422384263218,1.111037756570929,1.1282957268639158
Elysia chlorotica,genome,466.3888889,Elysia_chlorotica_ott388568,557480303.0,,0.878893,,,0.806027,,,,,,,0.953879,,,0.654368,,1.1056072369987033,0.9548646868044821,1.0725691822108654,1.0424274809259892,1.1045447746720987,1.050619189496472
Teladorsagia circumcincta,genome,291.4375,Teladorsagia_circumcincta_ott428054,700607159.0,,0.913236,,,0.70363,,,,,,,1.064804,,,0.921451,,1.083040019538866,0.8956638890244984,1.0027620216787398,1.0737263950763514,1.1692362711735578,0.9727634112433499
Macrostomum lignano,genome,627.2916667,Macrostomum_lignano_ott735030,764410778.0,,0.953576,,,0.795423,,,,,,,1.131465,,,0.709824,,1.1148790238471977,0.8428160674780188,1.138751637436153,1.0531112900123727,1.0620621290651404,0.9912155028700479
Sitophilus oryzae,genome,124.85,Sitophilus_oryzae_ott865254,770550206.0,,0.914524,,,0.862124,,,,,,,1.089484,,,1.040611,,1.0083603198883357,0.9424287882719767,0.89469279733948,0.9369428364971597,1.164369202610331,1.1595321917192982
Saccostrea glomerata,genome,2737.5,Saccostrea_glomerata_ott26482,788100799.0,,0.937081,,,0.794555,,,,,,,0.968012,,,0.691025,,1.1565792754974968,0.944741247805051,0.9238734344605045,0.9973249014834549,1.1285877797676458,1.1478062588925808
Aplysia californica,genome,365.0,Aplysia_californica_ott51009,927296314.0,,0.843263,,,0.737991,,,,,,,0.905543,,,0.648982,,1.1589655426606296,0.9943938149972554,1.033507377381333,1.0245163825485561,1.1380010492742647,1.0662275286324265
Radix auricularia,genome,730.0,Radix_auricularia_ott274226,909764068.0,,0.913895,,,0.832611,,,,,,,0.981532,,,0.700928,,1.1468285035703638,0.9956500900870099,0.9284490592140882,0.92197990834603,1.1287733387940457,1.1649664925183734
Mizuhopecten yessoensis,genome,5031.785714,Mizuhopecten_yessoensis_ott449027,987568220.0,,0.97477,,,0.900345,,,,,,,0.835327,,,0.667451,,1.2134085042289002,1.1004414027516223,0.9212245110928615,0.9376338146085211,1.012792070443936,1.0984207119247071
Ligia exotica,genome,602.25,Ligia_exotica_ott981553,953555114.0,,0.969529,,,0.87842,,,,,,,0.863222,,,0.747568,,0.9849006488138282,0.8744561062407779,1.002188740575703,1.0491929312381671,1.1010010488682958,1.2743594080973153
Hydroides elegans,genome,304.1666667,Hydroides_elegans_ott327380,1026046400.0,,1.012904,,,0.835767,,,,,,,1.112979,,,1.014819,,1.1216701512293377,0.9335774913672952,0.8327196088072024,0.9668967387010541,1.1156154171717934,1.0679227132129039
Argopecten irradians irradians,genome,730.0,Argopecten_irradians_irradians_ott1078203,835595382.0,,0.99418,,,0.884232,,,,,,,0.884648,,,0.713628,,1.190852558117837,1.0435570269351708,0.9046541568829335,0.958431773588092,1.0341501576296137,1.111653169028631
Eisenia fetida,genome,2051.908333,Eisenia_fetida_fetida_ott7487356,1471976452.0,,0.982709,,,0.841131,,,,,,,1.083348,,,0.761604,,1.1680196742588889,0.9547318722869229,0.9911066338669925,0.9874066753757691,1.0540112775351962,1.0020902098545443
Haliotis rubra,genome,6387.5,Haliotis_rubra_ott695282,1378265264.0,,0.994028,,,0.829445,,,,,,,0.880416,,,0.655319,,1.2895925823308045,1.0921333127268935,0.9329525903351864,0.9770481695352395,0.988875445544437,1.0180655221077175
Venustaconcha ellipsiformis,genome,5475.0,Venustaconcha_ellipsiformis_ott116466,1590012607.0,,0.972568,,,0.813277,,,,,,,1.034156,,,0.52973,,1.2743002319406227,0.9901940672891659,0.9522157007869603,0.9743387546113317,1.0574310336499493,1.034237102845456
Limulus polyphemus,genome,7026.25,Limulus_polyphemus_ott511973,1828256766.0,,0.891271,,,0.877698,,,,,,,0.96032,,,0.632912,,1.164495448569285,1.0684604090357657,1.0022363952138444,0.9326279301699678,1.0731477003252219,1.0371903579537547
Caridina multidentata,genome,2190.0,Caridina_multidentata_ott1096140,1948953281.0,,0.95403,,,0.878106,,,,,,,0.989647,,,0.660092,,1.0815068975220876,0.92413606420546,1.0549627071145355,1.0482724493377489,1.056857469676057,1.0656825171756532
Octopus bimaculoides,genome,517.0833333,Octopus_bimaculoides_ott609510,2342518435.0,,1.018356,,,0.900127,,,,,,,1.00231,,,0.615886,,1.2538139126477195,1.040181312446953,0.9613816785257975,0.9574425497833381,0.980645325950955,1.0025417660520208
