Region	Reference	Start	End	Strand	Score
434068at33208_r2.m1.g1.t1_upstream1	OZ210597.1	25183495	25183695	-	0.03
434068at33208_r2.m1.g1.t1_upstream2	OZ210597.1	25183295	25183495	-	0.03
434068at33208_r2.m1.g1.t1_1_exon	OZ210597.1	25183033	25183395	-	0.46
434068at33208_r2.m1.g1.t1_1_intron	OZ210597.1	25182155	25183033	-	0.46
434068at33208_r2.m1.g1.t1_2_exon	OZ210597.1	25181757	25182155	-	0.97
434068at33208_r2.m1.g1.t1_2_intron	OZ210597.1	25181378	25181757	-	0.97
434068at33208_r2.m1.g1.t1_3_exon	OZ210597.1	25181071	25181378	-	0.84
434068at33208_r2.m1.g1.t1_3_intron	OZ210597.1	25180637	25181071	-	0.84
434068at33208_r2.m1.g1.t1_4_exon	OZ210597.1	25180510	25180637	-	1.0
434068at33208_r2.m1.g1.t1_4_intron	OZ210597.1	25180465	25180510	-	1.0
434068at33208_r2.m1.g1.t1_5_exon	OZ210597.1	25180240	25180465	-	0.9
434068at33208_r2.m1.g1.t1_5_intron	OZ210597.1	25179527	25180240	-	0.9
434068at33208_r2.m1.g1.t1_6_exon	OZ210597.1	25179423	25179527	-	0.99
434068at33208_r2.m1.g1.t1_6_intron	OZ210597.1	25179377	25179423	-	0.99
434068at33208_r2.m1.g1.t1_7_exon	OZ210597.1	25179258	25179377	-	0.98
434068at33208_r2.m1.g1.t1_7_intron	OZ210597.1	25178998	25179258	-	0.98
434068at33208_r2.m1.g1.t1_8_exon	OZ210597.1	25178870	25178998	-	0.78
434068at33208_r2.m1.g1.t1_8_intron	OZ210597.1	25177839	25178870	-	0.78
434068at33208_r2.m1.g1.t1_9_exon	OZ210597.1	25177729	25177839	-	0.67
434068at33208_r2.m1.g1.t1_9_intron	OZ210597.1	25177684	25177729	-	0.67
434068at33208_r2.m1.g1.t1_10_exon	OZ210597.1	25177534	25177684	-	0.97
434068at33208_r2.m1.g1.t1_10_intron	OZ210597.1	25177434	25177534	-	0.97
434068at33208_r2.m1.g1.t1_11_exon	OZ210597.1	25177335	25177434	-	0.75
434068at33208_r2.m1.g1.t1_11_intron	OZ210597.1	25177296	25177335	-	0.75
434068at33208_r2.m1.g1.t1_12_exon	OZ210597.1	25177003	25177296	-	0.81
434068at33208_r2.m1.g1.t1_12_intron	OZ210597.1	25176552	25177003	-	0.81
434068at33208_r2.m1.g1.t1_13_exon	OZ210597.1	25176317	25176552	-	0.61
434068at33208_r2.m1.g1.t1_13_intron	OZ210597.1	25176275	25176317	-	0.61
434068at33208_r2.m1.g1.t1_14_exon	OZ210597.1	25176193	25176275	-	0.98
434068at33208_r2.m1.g1.t1_downstream1	OZ210597.1	25176193	25176293	-	0.98
434068at33208_r2.m1.g1.t1_downstream2	OZ210597.1	25175993	25176193	-	0.98
522988at33208_r2.m1.g1.t1_upstream1	OZ210593.1	16723821	16724021	-	0.01
522988at33208_r2.m1.g1.t1_upstream2	OZ210593.1	16723621	16723821	-	0.01
522988at33208_r2.m1.g1.t1_1_exon	OZ210593.1	16723716	16723721	-	0.01
522988at33208_r2.m1.g1.t1_1_intron	OZ210593.1	16723662	16723716	-	0.01
522988at33208_r2.m1.g1.t1_2_exon	OZ210593.1	16723587	16723662	-	0.01
522988at33208_r2.m1.g1.t1_2_intron	OZ210593.1	16723523	16723587	-	0.01
522988at33208_r2.m1.g1.t1_3_exon	OZ210593.1	16723491	16723523	-	0.01
522988at33208_r2.m1.g1.t1_3_intron	OZ210593.1	16723444	16723491	-	0.01
522988at33208_r2.m1.g1.t1_4_exon	OZ210593.1	16723433	16723444	-	0.01
522988at33208_r2.m1.g1.t1_4_intron	OZ210593.1	16723328	16723433	-	0.01
522988at33208_r2.m1.g1.t1_5_exon	OZ210593.1	16723309	16723328	-	0.01
522988at33208_r2.m1.g1.t1_5_intron	OZ210593.1	16723226	16723309	-	0.01
522988at33208_r2.m1.g1.t1_6_exon	OZ210593.1	16723210	16723226	-	0.01
522988at33208_r2.m1.g1.t1_6_intron	OZ210593.1	16722984	16723210	-	0.01
522988at33208_r2.m1.g1.t1_7_exon	OZ210593.1	16722973	16722984	-	0.01
522988at33208_r2.m1.g1.t1_7_intron	OZ210593.1	16722279	16722973	-	0.01
522988at33208_r2.m1.g1.t1_8_exon	OZ210593.1	16722263	16722279	-	0.01
522988at33208_r2.m1.g1.t1_8_intron	OZ210593.1	16722197	16722263	-	0.01
522988at33208_r2.m1.g1.t1_9_exon	OZ210593.1	16722142	16722197	-	0.01
522988at33208_r2.m1.g1.t1_9_intron	OZ210593.1	16722063	16722142	-	0.01
522988at33208_r2.m1.g1.t1_10_exon	OZ210593.1	16721998	16722063	-	0.01
522988at33208_r2.m1.g1.t1_10_intron	OZ210593.1	16721516	16721998	-	0.01
522988at33208_r2.m1.g1.t1_11_exon	OZ210593.1	16721490	16721516	-	0.01
522988at33208_r2.m1.g1.t1_11_intron	OZ210593.1	16720579	16721490	-	0.01
522988at33208_r2.m1.g1.t1_12_exon	OZ210593.1	16720544	16720579	-	0.01
522988at33208_r2.m1.g1.t1_12_intron	OZ210593.1	16720392	16720544	-	0.01
522988at33208_r2.m1.g1.t1_13_exon	OZ210593.1	16720375	16720392	-	0.01
522988at33208_r2.m1.g1.t1_13_intron	OZ210593.1	16720099	16720375	-	0.01
522988at33208_r2.m1.g1.t1_14_exon	OZ210593.1	16720087	16720099	-	0.01
522988at33208_r2.m1.g1.t1_14_intron	OZ210593.1	16719953	16720087	-	0.01
522988at33208_r2.m1.g1.t1_15_exon	OZ210593.1	16719913	16719953	-	0.01
522988at33208_r2.m1.g1.t1_15_intron	OZ210593.1	16719874	16719913	-	0.01
522988at33208_r2.m1.g1.t1_16_exon	OZ210593.1	16719772	16719874	-	0.01
522988at33208_r2.m1.g1.t1_16_intron	OZ210593.1	16719626	16719772	-	0.01
522988at33208_r2.m1.g1.t1_17_exon	OZ210593.1	16719535	16719626	-	0.01
522988at33208_r2.m1.g1.t1_17_intron	OZ210593.1	16719168	16719535	-	0.01
522988at33208_r2.m1.g1.t1_18_exon	OZ210593.1	16719035	16719168	-	0.81
522988at33208_r2.m1.g1.t1_18_intron	OZ210593.1	16718528	16719035	-	0.81
522988at33208_r2.m1.g1.t1_19_exon	OZ210593.1	16718459	16718528	-	0.96
522988at33208_r2.m1.g1.t1_19_intron	OZ210593.1	16718006	16718459	-	0.96
522988at33208_r2.m1.g1.t1_20_exon	OZ210593.1	16717888	16718006	-	0.83
522988at33208_r2.m1.g1.t1_20_intron	OZ210593.1	16717410	16717888	-	0.83
522988at33208_r2.m1.g1.t1_21_exon	OZ210593.1	16717266	16717410	-	0.81
522988at33208_r2.m1.g1.t1_21_intron	OZ210593.1	16716962	16717266	-	0.81
522988at33208_r2.m1.g1.t1_22_exon	OZ210593.1	16716687	16716962	-	0.5
522988at33208_r2.m1.g1.t1_22_intron	OZ210593.1	16716294	16716687	-	0.5
522988at33208_r2.m1.g1.t1_23_exon	OZ210593.1	16716068	16716294	-	0.01
522988at33208_r2.m1.g1.t1_23_intron	OZ210593.1	16714767	16716068	-	0.01
522988at33208_r2.m1.g1.t1_24_exon	OZ210593.1	16714729	16714767	-	0.01
522988at33208_r2.m1.g1.t1_24_intron	OZ210593.1	16714244	16714729	-	0.01
522988at33208_r2.m1.g1.t1_25_exon	OZ210593.1	16714187	16714244	-	0.01
522988at33208_r2.m1.g1.t1_25_intron	OZ210593.1	16714077	16714187	-	0.01
522988at33208_r2.m1.g1.t1_26_exon	OZ210593.1	16714028	16714077	-	0.01
522988at33208_r2.m1.g1.t1_26_intron	OZ210593.1	16712301	16714028	-	0.01
522988at33208_r2.m1.g1.t1_27_exon	OZ210593.1	16712280	16712301	-	0.01
522988at33208_r2.m1.g1.t1_27_intron	OZ210593.1	16712094	16712280	-	0.01
522988at33208_r2.m1.g1.t1_28_exon	OZ210593.1	16712065	16712094	-	0.01
522988at33208_r2.m1.g1.t1_28_intron	OZ210593.1	16711910	16712065	-	0.01
522988at33208_r2.m1.g1.t1_29_exon	OZ210593.1	16711892	16711910	-	0.01
522988at33208_r2.m1.g1.t1_29_intron	OZ210593.1	16711743	16711892	-	0.01
522988at33208_r2.m1.g1.t1_30_exon	OZ210593.1	16711724	16711743	-	0.01
522988at33208_r2.m1.g1.t1_downstream1	OZ210593.1	16711724	16711824	-	0.01
522988at33208_r2.m1.g1.t1_downstream2	OZ210593.1	16711524	16711724	-	0.01
578734at33208_r2.m2.g2.t1_upstream1	OZ210595.1	11243716	11243916	-	0.02
578734at33208_r2.m2.g2.t1_upstream2	OZ210595.1	11243516	11243716	-	0.02
578734at33208_r2.m2.g2.t1_1_exon	OZ210595.1	11243427	11243616	-	0.83
578734at33208_r2.m2.g2.t1_1_intron	OZ210595.1	11243140	11243427	-	0.83
578734at33208_r2.m2.g2.t1_2_exon	OZ210595.1	11242801	11243140	-	0.11
578734at33208_r2.m2.g2.t1_2_intron	OZ210595.1	11242348	11242801	-	0.11
578734at33208_r2.m2.g2.t1_3_exon	OZ210595.1	11242072	11242348	-	0.05
578734at33208_r2.m2.g2.t1_downstream1	OZ210595.1	11242072	11242172	-	0.05
578734at33208_r2.m2.g2.t1_downstream2	OZ210595.1	11241872	11242072	-	0.05
135294at33208_r2.m1.g1.t1_upstream1	OZ210597.1	130345	130545	-	0.02
135294at33208_r2.m1.g1.t1_upstream2	OZ210597.1	130145	130345	-	0.02
135294at33208_r2.m1.g1.t1_1_exon	OZ210597.1	130206	130245	-	0.92
135294at33208_r2.m1.g1.t1_1_intron	OZ210597.1	129943	130206	-	0.92
135294at33208_r2.m1.g1.t1_2_exon	OZ210597.1	129759	129943	-	0.24
135294at33208_r2.m1.g1.t1_2_intron	OZ210597.1	128872	129759	-	0.24
135294at33208_r2.m1.g1.t1_3_exon	OZ210597.1	128793	128872	-	0.54
