Region	Reference	Start	End	Strand	Score
348544at33208_r2.m1.g1.t1_upstream1	OZ210596.1	8393764	8393964	+	0.01
348544at33208_r2.m1.g1.t1_upstream2	OZ210596.1	8393964	8394164	+	0.01
348544at33208_r2.m1.g1.t1_1_exon	OZ210596.1	8394064	8394221	+	0.6
348544at33208_r2.m1.g1.t1_1_intron	OZ210596.1	8394221	8394666	+	0.6
348544at33208_r2.m1.g1.t1_2_exon	OZ210596.1	8394666	8394795	+	0.4
348544at33208_r2.m1.g1.t1_2_intron	OZ210596.1	8394795	8395235	+	0.4
348544at33208_r2.m1.g1.t1_3_exon	OZ210596.1	8395235	8395480	+	0.82
348544at33208_r2.m1.g1.t1_3_intron	OZ210596.1	8395480	8395947	+	0.82
348544at33208_r2.m1.g1.t1_4_exon	OZ210596.1	8395947	8396100	+	0.95
348544at33208_r2.m1.g1.t1_4_intron	OZ210596.1	8396100	8396895	+	0.95
348544at33208_r2.m1.g1.t1_5_exon	OZ210596.1	8396895	8397036	+	0.45
348544at33208_r2.m1.g1.t1_5_intron	OZ210596.1	8397036	8397081	+	0.45
348544at33208_r2.m1.g1.t1_6_exon	OZ210596.1	8397081	8397204	+	0.53
348544at33208_r2.m1.g1.t1_6_intron	OZ210596.1	8397204	8415105	+	0.53
348544at33208_r2.m1.g1.t1_7_exon	OZ210596.1	8415105	8415294	+	0.44
348544at33208_r2.m1.g1.t1_7_intron	OZ210596.1	8415294	8415753	+	0.44
348544at33208_r2.m1.g1.t1_8_exon	OZ210596.1	8415753	8415906	+	0.79
348544at33208_r2.m1.g1.t1_8_intron	OZ210596.1	8415906	8416918	+	0.79
348544at33208_r2.m1.g1.t1_9_exon	OZ210596.1	8416918	8417041	+	0.61
348544at33208_r2.m1.g1.t1_downstream1	OZ210596.1	8416941	8417041	+	0.61
348544at33208_r2.m1.g1.t1_downstream2	OZ210596.1	8417041	8417241	+	0.61
399092at33208_r2.m1.g2.t1_upstream1	OZ210592.1	12156951	12157151	-	0.01
399092at33208_r2.m1.g2.t1_upstream2	OZ210592.1	12156751	12156951	-	0.01
399092at33208_r2.m1.g2.t1_1_exon	OZ210592.1	12156790	12156851	-	0.01
399092at33208_r2.m1.g2.t1_1_intron	OZ210592.1	12154727	12156790	-	0.01
399092at33208_r2.m1.g2.t1_2_exon	OZ210592.1	12154708	12154727	-	0.01
399092at33208_r2.m1.g2.t1_2_intron	OZ210592.1	12154377	12154708	-	0.01
399092at33208_r2.m1.g2.t1_3_exon	OZ210592.1	12154335	12154377	-	0.01
399092at33208_r2.m1.g2.t1_3_intron	OZ210592.1	12152948	12154335	-	0.01
