Region	Reference	Start	End	Strand	Score
102804at33208_r2.m1.g1.t1_upstream1	OZ210593.1	21430338	21430538	-	0.09
102804at33208_r2.m1.g1.t1_upstream2	OZ210593.1	21430138	21430338	-	0.09
102804at33208_r2.m1.g1.t1_1_exon	OZ210593.1	21430076	21430238	-	0.32
102804at33208_r2.m1.g1.t1_1_intron	OZ210593.1	21429187	21430076	-	0.32
102804at33208_r2.m1.g1.t1_2_exon	OZ210593.1	21429032	21429187	-	0.37
102804at33208_r2.m1.g1.t1_2_intron	OZ210593.1	21428981	21429032	-	0.37
102804at33208_r2.m1.g1.t1_3_exon	OZ210593.1	21428714	21428981	-	0.55
102804at33208_r2.m1.g1.t1_3_intron	OZ210593.1	21427162	21428714	-	0.55
102804at33208_r2.m1.g1.t1_4_exon	OZ210593.1	21426899	21427162	-	0.9
102804at33208_r2.m1.g1.t1_4_intron	OZ210593.1	21426483	21426899	-	0.9
102804at33208_r2.m1.g1.t1_5_exon	OZ210593.1	21426364	21426483	-	0.94
102804at33208_r2.m1.g1.t1_5_intron	OZ210593.1	21426321	21426364	-	0.94
102804at33208_r2.m1.g1.t1_6_exon	OZ210593.1	21426195	21426321	-	1.0
102804at33208_r2.m1.g1.t1_6_intron	OZ210593.1	21426142	21426195	-	1.0
102804at33208_r2.m1.g1.t1_7_exon	OZ210593.1	21425953	21426142	-	0.99
102804at33208_r2.m1.g1.t1_7_intron	OZ210593.1	21425528	21425953	-	0.99
102804at33208_r2.m1.g1.t1_8_exon	OZ210593.1	21425358	21425528	-	0.96
102804at33208_r2.m1.g1.t1_8_intron	OZ210593.1	21424858	21425358	-	0.96
102804at33208_r2.m1.g1.t1_9_exon	OZ210593.1	21424728	21424858	-	0.96
102804at33208_r2.m1.g1.t1_9_intron	OZ210593.1	21424437	21424728	-	0.96
102804at33208_r2.m1.g1.t1_10_exon	OZ210593.1	21424310	21424437	-	0.99
102804at33208_r2.m1.g1.t1_10_intron	OZ210593.1	21424259	21424310	-	0.99
102804at33208_r2.m1.g1.t1_11_exon	OZ210593.1	21424187	21424259	-	0.99
102804at33208_r2.m1.g1.t1_11_intron	OZ210593.1	21424140	21424187	-	0.99
102804at33208_r2.m1.g1.t1_12_exon	OZ210593.1	21424046	21424140	-	0.52
102804at33208_r2.m1.g1.t1_downstream1	OZ210593.1	21424046	21424146	-	0.52
102804at33208_r2.m1.g1.t1_downstream2	OZ210593.1	21423846	21424046	-	0.52
109109at33208_r2.m1.g1.t1_upstream1	OZ210595.1	19356905	19357105	+	0.01
109109at33208_r2.m1.g1.t1_upstream2	OZ210595.1	19357105	19357305	+	0.01
109109at33208_r2.m1.g1.t1_1_exon	OZ210595.1	19357205	19357250	+	0.53
109109at33208_r2.m1.g1.t1_1_intron	OZ210595.1	19357250	19357633	+	0.53
109109at33208_r2.m1.g1.t1_2_exon	OZ210595.1	19357633	19357814	+	0.73
109109at33208_r2.m1.g1.t1_2_intron	OZ210595.1	19357814	19360638	+	0.73
109109at33208_r2.m1.g1.t1_3_exon	OZ210595.1	19360638	19360844	+	0.03
109109at33208_r2.m1.g1.t1_3_intron	OZ210595.1	19360844	19360991	+	0.03
109109at33208_r2.m1.g1.t1_4_exon	OZ210595.1	19360991	19361147	+	0.01
109109at33208_r2.m1.g1.t1_4_intron	OZ210595.1	19361147	19361352	+	0.01
109109at33208_r2.m1.g1.t1_5_exon	OZ210595.1	19361352	19361520	+	0.15
109109at33208_r2.m1.g1.t1_5_intron	OZ210595.1	19361520	19361563	+	0.15
109109at33208_r2.m1.g1.t1_6_exon	OZ210595.1	19361563	19361877	+	0.8
109109at33208_r2.m1.g1.t1_6_intron	OZ210595.1	19361877	19362305	+	0.8
109109at33208_r2.m1.g1.t1_7_exon	OZ210595.1	19362305	19362492	+	0.01
109109at33208_r2.m1.g1.t1_7_intron	OZ210595.1	19362492	19362725	+	0.01
