Genome_Name	Gene_Length_Including_N	Sum_of_valid_dinucleotide_counts	A_Count	T_Count	G_Count	C_Count	AA_Count	AA_OE	AA_Rate	AT_Count	AT_OE	AT_Rate	AG_Count	AG_OE	AG_Rate	AC_Count	AC_OE	AC_Rate	TA_Count	TA_OE	TA_Rate	TT_Count	TT_OE	TT_Rate	TG_Count	TG_OE	TG_Rate	TC_Count	TC_OE	TC_Rate	GA_Count	GA_OE	GA_Rate	GT_Count	GT_OE	GT_Rate	GG_Count	GG_OE	GG_Rate	GC_Count	GC_OE	GC_Rate	CA_Count	CA_OE	CA_Rate	CT_Count	CT_OE	CT_Rate	CG_Count	CG_OE	CG_Rate	CC_Count	CC_OE	CC_Rate	A_Rate	T_Rate	G_Rate	C_Rate
GCA_001887335.1_A_vulgare_v1	15703284	14342719	4799853	4800790	2368417	2389657	1823588	1.137812	0.127144	1445888	0.901974	0.10081	840298	1.062544	0.058587	684116	0.857366	0.047698	1300612	0.811347	0.090681	1824368	1.137855	0.127198	831907	1.051729	0.058002	838512	1.050657	0.058463	829936	1.049442	0.057865	679407	0.858932	0.047369	445966	1.142839	0.031094	410739	1.043211	0.028637	840693	1.053595	0.058615	845726	1.059696	0.058966	247513	0.628643	0.017257	453450	1.141453	0.031615	0.3342814681841003	0.33434672471084986	0.16494628315329288	0.16642552395175697
GCA_001040885.1_S_ratti_ED321	43150242	42895859	16869152	16835538	4594389	4597090	7383000	1.11293	0.172115	6214851	0.938711	0.144882	1622721	0.898141	0.037829	1648458	0.91185	0.038429	5608819	0.847174	0.130754	7350748	1.112498	0.171363	2077516	1.152156	0.048432	1798324	0.996735	0.041923	1799237	0.995839	0.041944	1648235	0.914084	0.038424	630696	1.281699	0.014703	516189	1.048382	0.012034	2077980	1.149441	0.048442	1621577	0.898771	0.037803	263423	0.535013	0.006141	634085	1.287073	0.014782	0.3932554443265085	0.3924718312257675	0.10710487922592808	0.10716784522179591
GCA_000941615.1_P_trichosuri_KNP	42486966	42213182	15155989	15135211	5960997	5967449	6045869	1.111402	0.143222	5499481	1.012348	0.130279	1827276	0.854048	0.043287	1780843	0.831445	0.042187	4667276	0.859156	0.110564	6029787	1.111491	0.142841	2311445	1.081826	0.054756	2124198	0.993113	0.050321	2126296	0.993806	0.05037	1777125	0.831748	0.042099	1062203	1.262266	0.025163	994655	1.180717	0.023563	2313928	1.080334	0.054815	1826437	0.853903	0.043267	759366	0.901415	0.017989	1066997	1.265222	0.025276	0.35897953763041973	0.3584873970757595	0.14119012272154058	0.14134294257228022
GCA_001447565.2_T2_ISS10_r1.1	47236232	47101599	15681406	15664530	7865404	7893456	6281889	1.203413	0.133369	4887712	0.937341	0.10377	2134205	0.815126	0.045311	2376619	0.904486	0.050457	3628646	0.695884	0.077039	6260259	1.201855	0.13291	3224745	1.232967	0.068464	2549830	0.971452	0.054135	2532597	0.967285	0.053769	2370428	0.906323	0.050326	1161538	0.884476	0.02466	1800234	1.365952	0.03822	3237266	1.232029	0.068729	2145072	0.817244	0.045541	1344360	1.020051	0.028542	1166199	0.881724	0.024759	0.3329046579460826	0.3325463929405405	0.16697671294447386	0.16757223616890304
GCA_001447665.1_T11_ISS1029_r1.0	50795114	50462114	16882024	17008882	8306830	8276617	6811508	1.206619	0.134983	5266826	0.926029	0.104372	2300991	0.828383	0.045598	2498848	0.902898	0.049519	3913020	0.687999	0.077544	6907569	1.205452	0.136886	3506415	1.252934	0.069486	2677802	0.960342	0.053066	2672346	0.962075	0.052957	2526906	0.90293	0.050075	1189002	0.869937	0.023562	1916499	1.407332	0.037979	3481133	1.257822	0.068985	2303744	0.826193	0.045653	1308271	0.960695	0.025926	1181234	0.870575	0.023408	0.33446736801163157	0.33698068403174974	0.1645752645903158	0.1639766833663029
GCA_001447435.1_T6_ISS34_r1.0	50853738	50560532	16819188	16839539	8450829	8458441	6720367	1.201497	0.132917	5241101	0.935895	0.10366	2309089	0.82163	0.04567	2546225	0.905193	0.05036	3919597	0.699916	0.077523	6737442	1.20164	0.133255	3452929	1.227151	0.068293	2727092	0.968321	0.053937	2720144	0.967893	0.0538	2548076	0.905571	0.050397	1253422	0.887643	0.024791	1927902	1.364065	0.038131	3456622	1.228843	0.068366	2310605	0.820437	0.0457	1434025	1.014628	0.028363	1255894	0.887794	0.024839	0.3326053828076283	0.33300783102008175	0.167118128091963	0.16726865808032698
GCA_000172435.1_Freeze_1	53012960	53009510	19262410	19223128	7277378	7250044	8934172	1.276566	0.168539	5947591	0.851563	0.112199	2370822	0.896652	0.044724	2008591	0.762519	0.037891	5068673	0.725721	0.095618	8906477	1.277816	0.168017	2602351	0.986228	0.049092	2644393	1.005939	0.049885	2662735	1.007054	0.050231	2009316	0.761482	0.037905	1430962	1.43248	0.026994	1173859	1.179535	0.022144	2595628	0.985375	0.048965	2358519	0.897191	0.044492	872736	0.876956	0.016464	1422685	1.434953	0.026838	0.3633528480582861	0.362611859439654	0.13727545113496775	0.13675984136709213
GCA_001447585.1_T3_ISS120_r1.0	51504795	51158173	16969462	16944073	8608800	8645513	6770104	1.203202	0.132337	5268237	0.937689	0.102979	2338342	0.819175	0.045708	2589707	0.903381	0.050622	3922509	0.698164	0.076674	6748365	1.202935	0.131912	3493121	1.225554	0.068281	2776920	0.970139	0.054281	2761395	0.96738	0.053978	2577446	0.904291	0.050382	1291186	0.891626	0.025239	1977101	1.359486	0.038647	3512358	1.225234	0.068657	2346954	0.819927	0.045876	1484323	1.020644	0.029014	1300105	0.890177	0.025413	0.33164306616920847	0.3311468756708314	0.16824627840514222	0.1689637797548179
GCA_000181795.3_ASM18179v3	63576506	58580861	19389887	19331820	9915032	9954914	7734784	1.205628	0.132036	6000282	0.938079	0.102427	2676816	0.815952	0.045694	2974424	0.903038	0.050775	4445972	0.695079	0.075895	7687985	1.205543	0.131237	4008473	1.225541	0.068426	3186404	0.970301	0.054393	3176073	0.968137	0.054217	2952393	0.902658	0.050399	1515259	0.903263	0.025866	2269288	1.347329	0.038738	4030094	1.22354	0.068795	2687544	0.818391	0.045878	1712353	1.016664	0.029231	1522717	0.900451	0.025993	0.33093258181331736	0.3299415362116512	0.16922260240720635	0.16990327956782514
GCA_000341325.1_Pred3	65093147	62053303	17323596	17283430	13731621	13734372	6124616	1.267195	0.098699	4453543	0.923588	0.07177	3178186	0.829584	0.051217	3561844	0.929542	0.0574	3010184	0.624261	0.04851	6111239	1.270312	0.098484	4249248	1.111735	0.068477	3907423	1.022098	0.062969	3915134	1.021945	0.063093	3551709	0.929237	0.057236	2986784	0.98356	0.048133	3273618	1.0778	0.052755	4268259	1.113896	0.068784	3161516	0.826985	0.050948	3313040	1.090779	0.05339	2986960	0.983224	0.048135	0.27908415409922305	0.2784370774683925	0.22121722483000222	0.22126154360238223
