Organism Name,Assembly Identifier,Region,Sum_of_valid_dinucleotide_counts,AA_Count,AA_Rate,AT_Count,AT_Rate,AG_Count,AG_Rate,AC_Count,AC_Rate,TA_Count,TA_Rate,TT_Count,TT_Rate,TG_Count,TG_Rate,TC_Count,TC_Rate,GA_Count,GA_Rate,GT_Count,GT_Rate,GG_Count,GG_Rate,GC_Count,GC_Rate,CA_Count,CA_Rate,CT_Count,CT_Rate,CG_Count,CG_Rate,CC_Count,CC_Rate
Acanthocheilonema viteae,GCA_046563165.1_ASM4656316v1,downstream1,69201,8204,0.1185532000982644,6730,0.0972529298709556,4299,0.0621233797199462,3162,0.0456929813152989,4933,0.07128509703617,7561,0.1092614268579933,5069,0.0732503865551075,3728,0.0538720538720538,5196,0.0750856201499978,3647,0.0527015505556278,2544,0.0367624745307148,2704,0.039074579847112,4337,0.0626725047325905,3111,0.0449559977456973,2238,0.0323405731131053,1738,0.0251152439993641
Acanthocheilonema viteae,GCA_046563165.1_ASM4656316v1,downstream2,139101,16564,0.119078942638802,16003,0.1150459018986204,6367,0.0457724962437365,5399,0.0388135239861683,12690,0.0912286755666745,23215,0.1668931208258747,9658,0.0694315641152831,7934,0.0570376920367215,7727,0.0555495647047828,7269,0.0522569931201069,3085,0.0221781295605351,3692,0.0265418652633697,7365,0.052947139129122,7011,0.050402225720879,2658,0.0191084176246037,2464,0.0177137475647191
Acanthocheilonema viteae,GCA_046563165.1_ASM4656316v1,exon,933989,105046,0.1124702753458552,87726,0.0939261597299325,57090,0.0611249168887428,46943,0.0502607632423936,56170,0.0601398945811995,84994,0.0910010717470976,75257,0.080575895433458,49432,0.0529256768548666,74170,0.0794120701635672,51185,0.0548025726213049,40314,0.0431632492459761,42261,0.0452478562381355,60514,0.0647909129550776,41955,0.0449202292532353,36657,0.0392477855734917,24275,0.0259906701256652
Acanthocheilonema viteae,GCA_046563165.1_ASM4656316v1,genome,81095651,11657737,0.143753,9730496,0.119988,3719178,0.045862,3489308,0.043027,7557261,0.093189,11669043,0.143892,4838113,0.059659,4546446,0.056063,4536100,0.055935,3486532,0.042993,1724199,0.021261,2188914,0.026992,4845621,0.059752,3724795,0.045931,1654253,0.020399,1727655,0.021304
Acanthocheilonema viteae,GCA_046563165.1_ASM4656316v1,intron,2842145,342674,0.1205687957510964,325453,0.1145096397263334,140959,0.0495959917597448,109078,0.0383787597043782,267000,0.0939431309802983,473804,0.1667064840111957,185972,0.0654336777328391,160304,0.05640247066916,156570,0.0550886742231659,149697,0.0526704302560214,62937,0.0221441903914121,73976,0.0260282286793953,151920,0.0534525859869922,138126,0.0485992093999426,53312,0.0187576636659987,50363,0.0177200670620253
Acanthocheilonema viteae,GCA_046563165.1_ASM4656316v1,upstream1,139101,15931,0.1145282923918591,15468,0.111199775702547,7049,0.0506754085161141,5771,0.0414878397711015,12377,0.0889785120164484,20905,0.1502864824839505,9489,0.0682166195785796,7932,0.057023313994867,8343,0.0599780015959626,7533,0.0541548946448983,3944,0.0283534985370342,3929,0.0282456632231256,7572,0.0544352664610606,6800,0.0488853423052314,3264,0.023464964306511,2794,0.0200861244707083
Acanthocheilonema viteae,GCA_046563165.1_ASM4656316v1,upstream2,139101,15575,0.1119690009417617,14365,0.1032702856198014,8055,0.0579075635689175,6028,0.0433354181494022,10686,0.0768218776284857,17456,0.1254915493059,10273,0.0738528119855356,7549,0.0542699189797341,9630,0.0692302715293204,8187,0.0588565143313132,5149,0.0370162687543583,4820,0.0346510808692964,8136,0.0584898742640239,5913,0.0425086807427696,4342,0.0312147288660757,2937,0.0211141544633036
Acanthopleura granulata,GCA_016165875.1_ASM1616587v1,downstream1,92565,8361,0.0903257170636849,6277,0.0678118079187597,7372,0.0796413331172689,5493,0.0593420839410144,4723,0.0510236050343002,6960,0.0751904067412088,7416,0.0801166747690811,5119,0.0553016799006103,7621,0.0823313347377518,5180,0.0559606762815318,4750,0.0513152919570031,4111,0.0444120347863663,7301,0.0788743045427537,5503,0.0594501161346081,2103,0.0227191703127532,4275,0.0461837627613028
Acanthopleura granulata,GCA_016165875.1_ASM1616587v1,downstream2,185858,16959,0.0912470811049295,15944,0.0857859225860603,11506,0.061907477751832,10488,0.0564301778777346,12615,0.0678743987345177,18738,0.1008189047552432,17024,0.0915968104682069,10150,0.0546115851886924,11486,0.0617998687169774,13166,0.070839027644761,7769,0.0418007295892563,6500,0.034972936327734,13863,0.0745892025094426,10671,0.0574148005466539,2655,0.0142850993769436,6324,0.0340259768210138
Acanthopleura granulata,GCA_016165875.1_ASM1616587v1,exon,1184755,100632,0.0849390802317778,74545,0.0629201818097412,99793,0.0842309169406333,72415,0.061122341749982,48380,0.04083544699115,70513,0.05951694654169,98105,0.0828061497946832,65824,0.0555591662411215,100861,0.0851323691396111,66785,0.0563703044089284,71415,0.0602782853838979,57760,0.0487526957050191,95995,0.0810251908622457,70634,0.0596190773619862,30235,0.0255200442285535,60863,0.0513718026089782
Acanthopleura granulata,GCA_016165875.1_ASM1616587v1,genome,544706905,52568178,0.096507,46518111,0.0854,31256218,0.057382,33716296,0.061898,39544609,0.072598,52482103,0.096349,40954898,0.075187,30934492,0.056791,30934097,0.05679,33690084,0.06185,22301282,0.040942,21432409,0.039347,41011901,0.075292,31225812,0.057326,13850554,0.025428,22285861,0.040913
Acanthopleura granulata,GCA_016165875.1_ASM1616587v1,intron,10586503,991238,0.0936322409770251,922667,0.0871550312695325,623573,0.0589026423550817,584365,0.0551990586504344,773302,0.0730460285138539,1132978,0.1070209870058129,912136,0.086160274077285,587468,0.055492167715817,578518,0.0546467516232697,733760,0.0693108952030713,416372,0.0393304569034741,382284,0.036110507879703,778784,0.0735638576780264,616480,0.0582326382942507,158853,0.0150052382736773,393725,0.0371912235796844
Acanthopleura granulata,GCA_016165875.1_ASM1616587v1,upstream1,185917,18944,0.1018949316092665,16044,0.0862965732020202,10366,0.0557560631894877,11139,0.0599138325166606,13305,0.0715641926235901,19285,0.1037290834081875,13965,0.0751141638473082,10614,0.0570899917705212,10271,0.0552450824830435,11642,0.0626193408886761,7010,0.037704997391309,7224,0.0388560486668782,13967,0.0751249213358649,10231,0.055029932711909,4773,0.0256727464406159,7137,0.0383880979146608
Acanthopleura granulata,GCA_016165875.1_ASM1616587v1,upstream2,186065,17768,0.0954935103324107,14048,0.0755004971380969,12494,0.0671485771101496,10839,0.058253836025045,10808,0.058087227581759,16220,0.0871738370999381,14742,0.0792303764813371,10285,0.0552763819095477,12928,0.0694810953161529,12107,0.0650686588020315,9180,0.0493375970762905,8141,0.043753526993255,13654,0.0733829575685916,9652,0.0518743449869669,5968,0.0320748125655013,7231,0.0388627630129255
